wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
405.115	1289.780	1297.790	1292.087	1.004	1298.412	1298.441	0.207	405.115	0.207	26.284	35.000
405.303	1301.782	1296.727	1300.097	1.003	1295.120	1299.306	0.207	405.303	0.207	0.000	0.000
405.492	1304.219	1309.767	1313.370	1.001	1320.862	1314.260	0.207	405.492	0.207	0.000	0.000
405.680	1331.206	1321.121	1325.839	1.000	1320.914	1325.823	0.207	405.680	0.207	0.000	0.000
405.869	1317.985	1315.133	1317.959	0.999	1319.540	1318.763	0.207	405.869	0.207	0.000	0.000
406.057	1316.585	1325.347	1319.592	0.999	1323.714	1321.430	0.207	406.057	0.207	0.000	0.000
406.246	1307.097	1309.430	1302.301	0.999	1311.244	1308.798	0.207	406.246	0.207	0.000	0.000
406.434	1315.029	1315.988	1320.525	1.000	1317.855	1314.939	0.207	406.434	0.207	0.000	0.000
406.623	1308.237	1306.889	1311.218	1.000	1306.760	1312.179	0.207	406.623	0.207	0.000	0.000
406.812	1333.331	1319.359	1322.080	1.000	1324.362	1323.361	0.207	406.812	0.207	0.000	0.000
407.001	1311.504	1319.670	1317.777	1.000	1311.711	1302.377	0.207	407.001	0.207	0.000	0.000
407.189	1315.807	1318.710	1321.562	1.000	1314.951	1320.783	0.207	407.189	0.207	0.000	0.000
407.378	1314.407	1312.852	1313.966	0.999	1315.496	1307.763	0.207	407.378	0.207	0.000	0.000
407.567	1316.403	1322.729	1321.329	0.999	1321.225	1321.251	0.207	407.567	0.207	0.000	0.000
407.756	1313.889	1319.073	1313.370	0.999	1316.248	1311.258	0.207	407.756	0.207	0.000	0.000
407.945	1318.555	1345.645	1380.253	0.999	1344.427	1349.194	0.207	407.945	0.207	0.000	0.000
408.134	1319.877	1352.489	1400.681	0.998	1357.881	1365.974	0.207	408.134	0.207	0.000	0.000
408.323	1318.425	1351.089	1395.678	0.995	1359.307	1366.026	0.207	408.323	0.207	0.000	0.000
408.512	1309.378	1354.407	1392.204	0.991	1346.449	1351.030	0.207	408.512	0.207	0.000	0.000
408.701	1323.817	1377.246	1411.776	0.987	1366.125	1361.268	0.207	408.701	0.207	0.000	0.000
408.890	1311.530	1357.077	1398.063	0.983	1362.158	1340.616	0.207	408.890	0.207	0.000	0.000
409.079	1319.151	1366.617	1405.088	0.980	1363.014	1344.031	0.207	409.079	0.207	0.000	0.000
409.268	1317.466	1366.980	1396.896	0.977	1367.914	1348.303	0.207	409.268	0.207	0.000	0.000
409.458	1317.596	1357.933	1404.233	0.975	1362.599	1334.700	0.207	409.458	0.207	0.000	0.000
409.647	1323.195	1363.351	1406.462	0.974	1360.525	1339.187	0.207	409.647	0.207	0.000	0.000
409.836	1316.662	1356.792	1404.777	0.972	1360.422	1337.295	0.207	409.836	0.207	0.000	0.000
410.025	1318.762	1361.951	1400.111	0.971	1364.880	1328.060	0.207	410.025	0.207	0.000	0.000
410.215	1328.535	1366.954	1417.246	0.970	1365.840	1344.095	0.207	410.215	0.207	0.000	0.000
410.404	1319.670	1359.488	1396.118	0.969	1355.652	1329.664	0.207	410.404	0.207	0.000	0.000
410.594	1321.458	1367.525	1403.325	0.968	1364.880	1337.329	0.207	410.594	0.207	0.000	0.000
410.783	1314.174	1364.621	1400.837	0.969	1358.322	1326.394	0.207	410.783	0.207	0.000	0.000
410.973	1322.729	1364.284	1406.073	0.969	1358.711	1336.544	0.208	410.973	0.208	0.000	0.000
411.162	1318.425	1355.263	1393.396	0.970	1357.103	1330.547	0.208	411.162	0.208	0.000	0.000
411.352	1316.792	1361.873	1405.607	0.970	1359.670	1333.313	0.209	411.352	0.209	0.000	0.000
411.541	1322.392	1361.147	1400.188	0.970	1365.503	1339.074	0.209	411.541	0.209	0.000	0.000
411.731	1327.058	1375.043	1420.850	0.971	1370.947	1345.838	0.210	411.731	0.210	0.000	0.000
411.921	1315.081	1356.248	1409.314	0.970	1360.240	1333.821	0.210	411.921	0.210	0.000	0.000
412.110	1367.525	1410.065	1446.981	0.970	1407.603	1376.837	0.210	412.110	0.210	0.000	0.000
412.300	1317.155	1366.280	1395.107	0.970	1363.895	1336.505	0.211	412.300	0.211	0.000	0.000
412.490	1321.458	1369.547	1416.546	0.970	1360.473	1341.304	0.211	412.490	0.211	0.000	0.000
412.680	1316.481	1365.503	1412.295	0.971	1361.147	1344.084	0.212	412.680	0.212	0.000	0.000
412.870	1324.310	1366.825	1422.561	0.970	1365.217	1352.023	0.212	412.870	0.212	0.000	0.000
413.060	1317.829	1359.333	1409.547	0.970	1361.484	1331.622	0.213	413.060	0.213	0.000	0.000
413.250	1323.817	1370.402	1429.016	0.969	1368.225	1347.989	0.213	413.250	0.213	0.000	0.000
413.440	1307.045	1359.670	1428.005	0.967	1358.296	1338.111	0.214	413.440	0.214	0.000	0.000
413.630	1325.373	1365.762	1431.686	0.966	1367.317	1339.494	0.214	413.630	0.214	0.000	0.000
413.820	1317.829	1365.710	1435.963	0.963	1367.758	1344.685	0.215	413.820	0.215	0.000	0.000
414.010	1323.092	1366.488	1449.521	0.961	1365.917	1348.929	0.215	414.010	0.215	0.000	0.000
414.200	1308.808	1364.077	1439.670	0.958	1355.315	1335.775	0.215	414.200	0.215	0.000	0.000
414.390	1319.955	1364.310	1455.976	0.955	1363.403	1339.958	0.216	414.390	0.216	0.000	0.000
414.580	1308.056	1359.903	1457.869	0.952	1363.610	1343.593	0.216	414.580	0.216	0.000	0.000
414.771	1325.502	1365.425	1476.326	0.949	1362.521	1353.939	0.217	414.771	0.217	0.000	0.000
414.961	1319.644	1359.748	1483.300	0.945	1362.936	1347.541	0.217	414.961	0.217	0.000	0.000
415.151	1325.632	1374.550	1515.186	0.940	1373.643	1362.660	0.218	415.151	0.218	0.000	0.000
415.341	1318.322	1359.981	1511.064	0.934	1365.062	1345.660	0.218	415.341	0.218	0.000	0.000
415.532	1323.791	1365.451	1506.035	0.928	1365.788	1336.638	0.219	415.532	0.219	0.000	0.000
