wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
407.453	1238.560	1342.648	1351.147	0.994	1350.891	1345.701	0.178	407.453	0.178	26.506	35.000
407.626	1248.826	1357.189	1353.067	0.996	1367.864	1351.167	0.178	407.626	0.178	0.000	0.000
407.799	1251.744	1357.726	1360.645	0.997	1376.286	1368.434	0.178	407.799	0.178	0.000	0.000
407.972	1261.984	1384.529	1371.576	0.999	1389.777	1379.497	0.178	407.972	0.178	0.000	0.000
408.145	1254.765	1373.009	1373.726	1.000	1380.561	1375.834	0.178	408.145	0.178	0.000	0.000
408.318	1262.931	1371.960	1378.974	1.000	1383.966	1387.052	0.178	408.318	0.178	0.000	0.000
408.492	1253.536	1367.531	1368.862	1.000	1369.758	1371.391	0.178	408.492	0.178	0.000	0.000
408.665	1264.570	1372.728	1365.611	1.000	1380.741	1382.832	0.178	408.665	0.178	0.000	0.000
408.838	1252.461	1368.734	1361.950	1.000	1380.126	1375.594	0.178	408.838	0.178	0.000	0.000
409.012	1263.059	1370.577	1373.445	1.001	1385.630	1384.729	0.178	409.012	0.178	0.000	0.000
409.186	1260.781	1368.043	1365.790	1.001	1373.675	1371.030	0.178	409.186	0.178	0.000	0.000
409.359	1263.008	1372.472	1367.378	1.001	1380.817	1377.479	0.178	409.359	0.178	0.000	0.000
409.533	1258.733	1371.960	1369.528	1.001	1371.755	1376.192	0.178	409.533	0.178	0.000	0.000
409.707	1266.925	1375.544	1377.131	1.001	1381.304	1386.194	0.178	409.707	0.178	0.000	0.000
409.881	1259.808	1369.809	1366.200	1.001	1379.537	1388.438	0.178	409.881	0.178	0.000	0.000
410.055	1251.718	1401.323	1417.604	1.001	1405.521	1405.432	0.178	410.055	0.178	0.000	0.000
410.229	1259.680	1406.750	1432.605	1.000	1413.175	1419.654	0.178	410.229	0.178	0.000	0.000
410.404	1254.253	1410.974	1430.327	0.999	1414.276	1418.701	0.178	410.404	0.178	0.000	0.000
410.578	1250.003	1395.204	1419.806	0.997	1406.775	1398.939	0.178	410.578	0.178	0.000	0.000
410.752	1265.440	1413.278	1436.932	0.994	1432.273	1418.320	0.178	410.752	0.178	0.000	0.000
410.927	1255.277	1407.415	1429.789	0.992	1419.268	1403.461	0.178	410.927	0.178	0.000	0.000
411.101	1258.451	1404.881	1440.080	0.990	1421.546	1403.908	0.179	411.101	0.179	0.000	0.000
411.276	1258.733	1417.041	1436.906	0.987	1419.959	1405.033	0.179	411.276	0.179	0.000	0.000
411.451	1256.173	1408.823	1432.810	0.986	1414.762	1398.923	0.179	411.451	0.179	0.000	0.000
411.626	1258.246	1407.748	1432.810	0.984	1414.609	1395.840	0.179	411.626	0.179	0.000	0.000
411.801	1258.810	1402.935	1431.607	0.983	1419.703	1392.472	0.180	411.801	0.180	0.000	0.000
411.976	1259.552	1407.671	1431.249	0.982	1416.887	1392.740	0.180	411.976	0.180	0.000	0.000
412.151	1269.664	1410.871	1438.416	0.982	1428.484	1405.383	0.180	412.151	0.180	0.000	0.000
412.326	1257.606	1406.750	1429.329	0.981	1410.999	1387.898	0.181	412.326	0.181	0.000	0.000
412.501	1261.472	1411.665	1435.626	0.981	1422.110	1406.988	0.181	412.501	0.181	0.000	0.000
412.677	1259.962	1411.870	1434.884	0.981	1419.780	1385.952	0.181	412.677	0.181	0.000	0.000
412.852	1261.626	1410.794	1440.388	0.981	1421.034	1394.784	0.182	412.852	0.182	0.000	0.000
413.028	1254.688	1406.980	1435.268	0.981	1404.369	1389.598	0.182	413.028	0.182	0.000	0.000
413.203	1260.038	1414.609	1431.453	0.981	1419.806	1393.511	0.182	413.203	0.182	0.000	0.000
413.379	1258.272	1414.634	1435.216	0.982	1420.574	1397.776	0.183	413.379	0.183	0.000	0.000
413.555	1265.798	1415.428	1442.973	0.982	1426.513	1399.441	0.183	413.555	0.183	0.000	0.000
413.730	1257.786	1409.054	1429.738	0.983	1409.642	1395.861	0.183	413.730	0.183	0.000	0.000
413.906	1282.745	1445.482	1473.744	0.983	1456.771	1437.427	0.184	413.906	0.184	0.000	0.000
414.082	1259.040	1415.377	1437.367	0.983	1421.495	1397.627	0.184	414.082	0.184	0.000	0.000
414.259	1261.446	1411.281	1447.888	0.983	1417.937	1402.466	0.184	414.259	0.184	0.000	0.000
414.435	1261.626	1415.351	1439.492	0.983	1407.467	1402.396	0.185	414.435	0.185	0.000	0.000
414.611	1262.624	1417.860	1442.948	0.983	1421.009	1401.015	0.185	414.611	0.185	0.000	0.000
414.787	1259.936	1410.462	1438.391	0.982	1413.918	1395.967	0.185	414.787	0.185	0.000	0.000
414.964	1264.672	1421.086	1454.058	0.982	1427.357	1405.155	0.186	414.964	0.186	0.000	0.000
415.140	1254.739	1411.895	1446.634	0.982	1413.508	1395.939	0.186	415.140	0.186	0.000	0.000
415.317	1257.939	1409.438	1464.682	0.981	1411.921	1408.581	0.186	415.317	0.186	0.000	0.000
415.494	1262.189	1408.567	1462.275	0.979	1425.105	1407.327	0.186	415.494	0.186	0.000	0.000
415.670	1264.723	1418.270	1470.186	0.977	1417.758	1400.620	0.187	415.670	0.187	0.000	0.000
415.847	1256.326	1397.790	1462.608	0.974	1408.823	1400.434	0.187	415.847	0.187	0.000	0.000
416.024	1260.525	1409.924	1472.720	0.971	1419.345	1400.721	0.187	416.024	0.187	0.000	0.000
416.201	1259.782	1414.378	1481.117	0.968	1414.916	1398.334	0.188	416.201	0.188	0.000	0.000
416.378	1266.413	1413.482	1493.353	0.965	1422.237	1404.660	0.188	416.378	0.188	0.000	0.000
416.555	1253.331	1406.110	1501.571	0.962	1421.598	1410.722	0.188	416.555	0.188	0.000	0.000
416.733	1273.043	1417.246	1514.908	0.958	1419.166	1413.820	0.189	416.733	0.189	0.000	0.000
416.910	1253.587	1411.332	1496.988	0.954	1416.964	1397.172	0.189	416.910	0.189	0.000	0.000
417.087	1267.513	1413.175	1497.091	0.950	1418.193	1387.578	0.189	417.087	0.189	0.000	0.000
417.265	1255.712	1408.798	1475.459	0.947	1424.157	1358.262	0.190	417.265	0.190	0.000	0.000
417.443	1266.310	1417.297	1469.418	0.946	1431.812	1367.493	0.190	417.443	0.190	0.000	0.000
417.620	1257.606	1412.100	1456.464	0.946	1424.311	1357.148	0.190	417.620	0.190	0.000	0.000
417.798	1273.222	1419.140	1460.867	0.948	1425.002	1363.019	0.191	417.798	0.191	0.000	0.000
417.976	1256.992	1410.103	1442.308	0.950	1420.343	1356.205	0.191	417.976	0.191	0.000	0.000
418.154	1262.701	1415.274	1443.357	0.954	1429.636	1357.025	0.191	418.154	0.191	0.000	0.000
418.332	1261.549	1415.121	1442.615	0.958	1415.786	1356.860	0.191	418.332	0.191	0.000	0.000
418.510	1268.179	1431.735	1445.866	0.963	1430.148	1382.926	0.192	418.510	0.192	0.000	0.000
418.688	1265.696	1411.537	1444.560	0.968	1423.108	1375.274	0.192	418.688	0.192	0.000	0.000
418.866	1264.544	1410.743	1438.109	0.972	1426.641	1386.852	0.192	418.866	0.192	0.000	0.000
419.044	1255.610	1398.916	1432.708	0.975	1418.551	1383.623	0.193	419.044	0.193	0.000	0.000
419.223	1262.419	1413.662	1440.669	0.978	1421.905	1390.282	0.193	419.223	0.193	0.000	0.000
419.401	1259.322	1417.271	1440.029	0.980	1416.298	1397.095	0.193	419.401	0.193	0.000	0.000
419.580	1273.120	1419.754	1449.501	0.981	1428.637	1408.364	0.194	419.580	0.194	0.000	0.000
419.758	1253.562	1405.444	1428.330	0.983	1411.537	1393.382	0.194	419.758	0.194	0.000	0.000
419.937	1259.219	1421.009	1442.154	0.983	1419.396	1394.771	0.194	419.937	0.194	0.000	0.000
420.116	1257.555	1409.489	1441.591	0.984	1414.993	1404.404	0.195	420.116	0.195	0.000	0.000
420.295	1263.264	1415.018	1445.738	0.984	1431.018	1396.944	0.195	420.295	0.195	0.000	0.000
420.474	1261.651	1409.668	1430.301	0.984	1413.866	1395.497	0.195	420.474	0.195	0.000	0.000
420.653	1271.712	1410.231	1438.032	0.984	1421.034	1401.073	0.195	420.653	0.195	0.000	0.000
420.832	1259.322	1408.875	1437.725	0.983	1413.841	1389.993	0.196	420.832	0.196	0.000	0.000
421.011	1262.240	1415.095	1436.343	0.983	1421.905	1398.184	0.196	421.011	0.196	0.000	0.000
421.190	1259.091	1408.004	1432.529	0.983	1410.538	1393.330	0.196	421.190	0.196	0.000	0.000
421.370	1275.219	1419.882	1444.458	0.983	1425.873	1411.347	0.197	421.370	0.197	0.000	0.000
421.549	1262.061	1410.282	1435.882	0.983	1410.052	1385.986	0.197	421.549	0.197	0.000	0.000
421.729	1267.360	1421.905	1445.610	0.983	1433.271	1408.001	0.197	421.729	0.197	0.000	0.000
421.908	1256.941	1402.167	1433.476	0.983	1415.044	1392.178	0.198	421.908	0.198	0.000	0.000
422.088	1260.218	1418.756	1443.895	0.982	1416.606	1404.548	0.198	422.088	0.198	0.000	0.000
422.267	1257.504	1406.417	1431.479	0.982	1420.932	1393.195	0.198	422.267	0.198	0.000	0.000
422.447	1261.549	1408.567	1440.208	0.982	1420.420	1403.095	0.198	422.447	0.198	0.000	0.000
422.627	1253.741	1410.641	1430.404	0.982	1413.201	1387.203	0.199	422.627	0.199	0.000	0.000
422.807	1265.235	1422.570	1442.589	0.982	1428.945	1407.130	0.199	422.807	0.199	0.000	0.000
422.987	1255.942	1413.124	1438.928	0.982	1418.193	1393.955	0.199	422.987	0.199	0.000	0.000
423.167	1271.891	1423.645	1447.479	0.982	1432.529	1404.812	0.200	423.167	0.200	0.000	0.000
423.347	1255.891	1411.818	1448.375	0.982	1426.487	1400.987	0.200	423.347	0.200	0.000	0.000
423.528	1261.216	1414.609	1444.586	0.982	1417.476	1399.389	0.200	423.528	0.200	0.000	0.000
423.708	1260.422	1412.458	1430.097	0.982	1421.188	1391.872	0.200	423.708	0.200	0.000	0.000
423.888	1267.590	1412.970	1447.837	0.982	1428.740	1398.908	0.201	423.888	0.201	0.000	0.000
424.069	1255.635	1412.202	1442.768	0.981	1421.418	1393.061	0.201	424.069	0.201	0.000	0.000
424.250	1260.192	1418.423	1448.068	0.981	1428.561	1403.245	0.201	424.250	0.201	0.000	0.000
424.430	1263.853	1417.297	1440.541	0.981	1410.794	1401.056	0.202	424.430	0.202	0.000	0.000
