wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1308.795	1308.324	1303.696	1.004	1316.885	1314.552	0.148
178.089	1312.646	1316.250	1317.888	1.003	1323.356	1324.823	-0.056
178.308	1348.690	1348.137	1350.328	1.001	1349.243	1355.356	-1.081
178.526	1362.411	1359.913	1358.643	1.001	1361.653	1364.535	NaN
178.745	1354.404	1351.250	1359.175	1.000	1357.230	1360.454	-0.331
178.964	1357.250	1359.360	1357.783	1.000	1366.364	1365.272	0.055
179.182	1340.498	1338.901	1338.880	0.999	1345.311	1340.634	1.550
179.401	1351.393	1344.410	1351.536	0.999	1354.834	1351.384	NaN
179.620	1344.901	1341.829	1345.106	0.999	1350.123	1343.444	NaN
179.838	1358.070	1365.094	1360.240	0.999	1367.306	1364.188	0.179
180.057	1346.888	1346.171	1351.373	0.999	1354.055	1349.404	0.455
180.275	1353.769	1353.011	1350.881	0.999	1360.814	1351.851	NaN
180.494	1354.158	1346.642	1350.123	0.999	1345.167	1348.659	0.213
180.713	1354.527	1355.858	1355.919	0.999	1360.036	1353.041	NaN
180.931	1350.328	1349.775	1350.881	0.999	1354.936	1356.445	-0.123
181.150	1344.164	1448.835	1395.261	1.000	1445.456	1392.561	0.321
181.368	1343.898	1485.576	1418.444	1.002	1489.037	1396.221	0.443
181.587	1339.965	1483.753	1409.392	1.007	1472.879	1405.650	0.306
181.805	1329.951	1464.195	1400.667	1.013	1462.024	1396.589	0.297
182.024	1362.718	1498.458	1438.288	1.020	1503.803	1441.871	0.251
182.242	1345.495	1476.545	1417.235	1.026	1478.552	1428.688	0.204
182.461	1345.515	1480.210	1422.867	1.031	1485.678	1438.639	0.178
182.679	1360.732	1495.038	1431.346	1.035	1492.252	1451.061	0.163
182.898	1350.861	1476.278	1419.836	1.039	1479.248	1446.425	0.128
183.116	1356.308	1494.874	1430.424	1.042	1492.805	1461.824	0.112
183.335	1347.420	1482.975	1427.823	1.043	1484.573	1460.141	0.085
183.553	1350.574	1489.672	1427.967	1.045	1488.054	1463.126	0.087
183.772	1358.889	1500.690	1441.463	1.045	1502.042	1475.895	0.088
183.990	1341.645	1477.405	1419.119	1.045	1480.948	1463.434	0.058
184.209	1349.468	1490.921	1428.991	1.045	1488.320	1467.249	0.071
184.427	1351.864	1483.630	1424.792	1.045	1486.805	1453.665	0.122
184.645	1352.192	1486.682	1434.315	1.044	1482.852	1467.449	0.054
184.864	1345.147	1480.108	1415.126	1.044	1484.491	1456.886	0.096
185.082	1341.440	1475.807	1426.103	1.043	1480.210	1454.469	0.089
