wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
405.426	1318.354	1314.591	1319.916	0.996	1319.225	1304.393	0.206	405.426	0.206	25.827	35.000
405.620	1320.658	1317.765	1326.444	0.995	1316.690	1312.649	0.206	405.620	0.206	0.000	0.000
405.814	1331.896	1339.679	1333.100	0.996	1325.164	1321.109	0.206	405.814	0.206	0.000	0.000
406.009	1347.743	1339.909	1349.893	0.997	1342.111	1327.825	0.206	406.009	0.206	0.000	0.000
406.203	1332.101	1337.503	1338.424	0.997	1337.247	1324.918	0.206	406.203	0.206	0.000	0.000
406.398	1340.165	1339.423	1339.986	0.997	1337.221	1337.965	0.206	406.398	0.206	0.000	0.000
406.592	1323.295	1332.460	1334.712	0.997	1327.749	1317.707	0.206	406.592	0.206	0.000	0.000
406.786	1334.456	1336.632	1344.210	0.998	1331.564	1329.119	0.206	406.786	0.206	0.000	0.000
406.981	1326.981	1325.599	1331.820	0.998	1328.953	1319.160	0.206	406.981	0.206	0.000	0.000
407.175	1333.228	1339.576	1341.087	0.997	1335.941	1338.356	0.206	407.175	0.206	0.000	0.000
407.370	1332.844	1334.866	1331.948	0.997	1328.236	1327.273	0.206	407.370	0.206	0.000	0.000
407.564	1340.063	1338.655	1339.269	0.998	1337.503	1334.991	0.206	407.564	0.206	0.000	0.000
407.759	1327.340	1338.732	1336.760	0.998	1330.565	1334.702	0.206	407.759	0.206	0.000	0.000
407.953	1337.170	1339.525	1337.784	0.998	1338.629	1345.661	0.206	407.953	0.206	0.000	0.000
408.148	1337.068	1337.733	1336.863	0.999	1333.100	1336.542	0.206	408.148	0.206	0.000	0.000
408.342	1343.314	1367.864	1383.940	0.999	1359.800	1359.401	0.206	408.342	0.206	0.000	0.000
408.537	1327.007	1362.821	1400.196	0.998	1364.869	1369.766	0.206	408.537	0.206	0.000	0.000
408.732	1335.071	1380.024	1399.019	0.997	1368.222	1370.695	0.206	408.732	0.206	0.000	0.000
408.926	1333.228	1366.738	1389.009	0.995	1362.206	1362.002	0.206	408.926	0.206	0.000	0.000
409.121	1344.184	1386.680	1407.262	0.993	1376.721	1381.381	0.206	409.121	0.206	0.000	0.000
409.315	1335.660	1367.557	1388.702	0.991	1364.869	1362.086	0.206	409.315	0.206	0.000	0.000
409.510	1331.180	1371.781	1398.583	0.989	1374.264	1365.297	0.206	409.510	0.206	0.000	0.000
409.705	1339.474	1373.649	1406.673	0.987	1379.819	1361.132	0.206	409.705	0.206	0.000	0.000
409.899	1335.890	1379.461	1397.227	0.985	1370.782	1358.479	0.206	409.899	0.206	0.000	0.000
410.094	1342.572	1377.976	1395.768	0.984	1369.912	1351.912	0.206	410.094	0.206	0.000	0.000
410.289	1338.015	1374.289	1404.958	0.983	1371.499	1351.961	0.207	410.289	0.207	0.000	0.000
410.483	1337.375	1369.733	1405.598	0.982	1369.937	1350.687	0.207	410.483	0.207	0.000	0.000
410.678	1342.597	1379.921	1412.484	0.981	1378.539	1353.748	0.208	410.678	0.208	0.000	0.000
410.873	1328.210	1365.688	1397.815	0.980	1362.539	1341.584	0.208	410.873	0.208	0.000	0.000
411.067	1338.706	1374.315	1398.916	0.980	1374.136	1357.623	0.209	411.067	0.209	0.000	0.000
411.262	1331.436	1366.558	1396.791	0.979	1370.245	1344.977	0.209	411.262	0.209	0.000	0.000
411.457	1340.524	1380.510	1404.369	0.979	1377.592	1344.071	0.210	411.457	0.210	0.000	0.000
411.652	1333.125	1370.731	1396.638	0.979	1367.224	1346.469	0.210	411.652	0.210	0.000	0.000
411.847	1341.676	1362.898	1402.935	0.979	1369.912	1347.124	0.211	411.847	0.211	0.000	0.000
412.041	1336.453	1376.952	1403.729	0.979	1372.497	1346.707	0.211	412.041	0.211	0.000	0.000
412.236	1341.317	1389.060	1408.337	0.979	1381.841	1355.615	0.212	412.236	0.212	0.000	0.000
412.431	1340.933	1369.042	1401.963	0.979	1364.382	1350.189	0.212	412.431	0.212	0.000	0.000
412.626	1372.677	1409.642	1438.724	0.979	1407.902	1371.780	0.213	412.626	0.213	0.000	0.000
412.821	1342.316	1371.781	1402.884	0.979	1370.936	1347.138	0.213	412.821	0.213	0.000	0.000
413.016	1336.607	1375.928	1406.724	0.979	1374.136	1353.696	0.214	413.016	0.214	0.000	0.000
413.210	1336.760	1371.397	1409.105	0.979	1372.293	1349.984	0.214	413.210	0.214	0.000	0.000
413.405	1344.491	1375.032	1412.382	0.979	1371.192	1351.318	0.215	413.405	0.215	0.000	0.000
413.600	1327.365	1371.038	1402.935	0.978	1362.616	1345.487	0.215	413.600	0.215	0.000	0.000
413.795	1336.684	1383.428	1418.961	0.978	1374.827	1360.832	0.216	413.795	0.216	0.000	0.000
413.990	1329.951	1366.482	1409.438	0.977	1367.736	1342.940	0.216	413.990	0.216	0.000	0.000
414.185	1336.044	1380.459	1415.454	0.976	1379.921	1351.767	0.217	414.185	0.217	0.000	0.000
414.380	1340.882	1370.987	1420.241	0.975	1364.024	1362.734	0.218	414.380	0.218	0.000	0.000
414.575	1345.643	1378.821	1423.313	0.974	1377.413	1366.169	0.218	414.575	0.218	0.000	0.000
