wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1243.301	1239.881	1244.182	0.997	1264.395	1263.392	0.021
178.089	1252.394	1249.425	1253.971	0.997	1270.089	1265.550	0.129
178.308	1275.987	1273.263	1283.298	0.996	1303.041	1291.008	0.256
178.526	1286.186	1286.718	1285.551	0.996	1317.663	1308.484	0.150
178.745	1285.264	1283.237	1287.189	0.996	1303.901	1306.520	-0.057
178.964	1286.206	1282.663	1290.323	0.996	1306.092	1305.338	0.017
179.182	1268.491	1272.055	1268.553	0.996	1290.487	1291.281	-0.015
179.401	1274.492	1273.693	1273.529	0.997	1301.382	1299.316	0.035
179.620	1273.058	1272.137	1272.833	0.997	1292.760	1290.154	0.062
179.838	1294.173	1285.694	1284.466	0.998	1310.168	1307.057	0.094
180.057	1280.021	1276.437	1274.615	0.998	1305.457	1299.786	0.110
180.275	1279.141	1272.219	1280.984	0.999	1303.184	1300.353	0.054
180.494	1283.052	1276.007	1274.369	0.999	1311.253	1297.300	0.297
180.713	1285.162	1284.240	1286.780	0.999	1307.771	1304.050	0.078
180.931	1274.328	1282.397	1276.990	0.999	1302.508	1307.886	-0.076
181.150	1279.387	1363.394	1331.835	1.000	1395.199	1327.218	0.384
181.368	1277.769	1413.856	1347.482	1.002	1427.434	1343.654	0.356
181.587	1276.581	1397.350	1347.707	1.006	1427.516	1349.224	0.318
181.805	1258.149	1389.997	1338.778	1.011	1407.569	1343.475	0.243
182.024	1289.278	1422.048	1368.924	1.016	1441.975	1376.323	0.244
182.242	1268.430	1406.504	1346.929	1.022	1424.710	1365.597	0.206
182.461	1281.168	1412.627	1350.635	1.027	1425.632	1381.864	0.157
182.679	1289.729	1422.888	1358.582	1.032	1431.530	1396.240	0.124
182.898	1278.977	1401.425	1358.049	1.036	1424.751	1394.312	0.102
183.116	1287.845	1412.238	1365.442	1.039	1444.821	1402.817	0.135
183.335	1277.994	1409.863	1350.656	1.041	1429.073	1404.487	0.077
183.553	1290.200	1408.613	1350.021	1.042	1432.145	1397.123	0.123
183.772	1293.968	1419.734	1364.398	1.043	1449.532	1419.421	0.093
183.990	1271.871	1405.173	1344.082	1.043	1430.219	1398.642	0.097
184.209	1281.004	1412.095	1362.739	1.044	1438.903	1410.830	0.085
184.427	1287.353	1413.897	1347.072	1.044	1430.301	1402.975	0.092
184.645	1283.831	1417.379	1358.663	1.044	1438.800	1406.053	0.103
184.864	1271.215	1404.476	1353.113	1.044	1429.216	1396.124	0.102
185.082	1282.459	1407.139	1359.749	1.044	1428.049	1404.977	0.075
185.300	1280.841	1411.358	1360.322	1.043	1431.243	1402.392	0.092
185.519	1296.385	1426.246	1366.732	1.042	1444.596	1418.416	0.084
