wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1252.179	1300.255	1301.279	0.999	1298.105	1300.102	-0.018
182.898	1256.378	1306.079	1305.439	0.999	1304.902	1306.872	-0.017
183.116	1265.709	1310.342	1308.639	1.000	1314.783	1314.004	0.007
183.335	1271.878	1319.263	1321.746	1.000	1319.839	1330.190	-0.085
183.553	1264.250	1314.796	1317.535	1.000	1312.428	1314.917	-0.022
183.772	1274.310	1322.297	1319.097	1.000	1326.751	1322.873	0.033
183.990	1260.653	1311.929	1310.162	1.000	1316.166	1310.803	0.044
184.209	1267.065	1316.434	1310.380	1.000	1320.172	1318.411	0.015
184.427	1260.832	1309.074	1310.457	1.000	1313.439	1318.152	-0.037
184.645	1271.213	1321.362	1323.756	1.001	1327.711	1322.014	0.046
184.864	1267.539	1315.308	1309.535	1.001	1315.372	1318.715	-0.029
185.082	1266.118	1323.129	1319.301	1.001	1321.810	1320.441	0.011
185.300	1264.326	1318.623	1313.682	1.001	1317.177	1321.338	-0.033
185.519	1272.928	1317.215	1320.735	1.001	1325.253	1325.801	-0.005
185.737	1258.528	1317.305	1316.153	1.001	1322.501	1322.322	0.001
185.956	1271.021	1353.234	1368.786	1.001	1358.264	1358.038	0.001
186.174	1263.443	1369.029	1384.811	1.000	1368.453	1374.345	-0.024
186.392	1264.442	1367.634	1392.337	0.999	1366.379	1371.724	-0.022
186.611	1260.627	1365.483	1386.027	0.997	1366.571	1362.026	0.019
186.829	1270.765	1374.661	1398.993	0.995	1380.856	1377.584	0.013
187.047	1259.859	1369.182	1383.480	0.992	1368.427	1360.237	0.034
187.265	1268.960	1374.225	1396.023	0.990	1378.334	1365.314	0.055
187.484	1267.360	1370.910	1390.622	0.989	1374.200	1365.128	0.039
187.702	1268.115	1366.648	1395.512	0.987	1370.910	1363.080	0.034
187.920	1267.053	1368.837	1396.523	0.986	1378.411	1354.490	0.105
188.138	1269.267	1376.811	1396.868	0.985	1381.048	1353.133	0.125
188.357	1268.793	1373.701	1391.454	0.984	1375.365	1353.877	0.098
188.575	1270.854	1377.374	1398.135	0.983	1379.397	1362.696	0.073
188.793	1268.192	1364.766	1387.704	0.983	1372.497	1349.350	0.109
189.011	1271.776	1378.501	1396.100	0.983	1376.222	1356.668	0.090
189.229	1266.515	1368.005	1392.772	0.983	1374.494	1351.072	0.106
189.448	1272.121	1371.665	1396.612	0.983	1375.877	1357.673	0.084
189.666	1263.469	1366.814	1396.139	0.983	1372.049	1352.535	0.086
189.884	1267.808	1375.787	1390.481	0.983	1376.414	1352.949	0.106
190.102	1261.894	1370.360	1394.769	0.983	1372.126	1352.161	0.087
190.320	1270.253	1382.545	1413.649	0.983	1382.865	1361.828	0.090
190.538	1262.650	1376.312	1401.796	0.983	1371.000	1350.841	0.089
190.757	1271.341	1379.985	1407.147	0.983	1380.536	1360.327	0.089
190.975	1264.352	1377.451	1404.023	0.982	1376.977	1356.463	0.087
191.193	1271.648	1380.651	1404.907	0.982	1380.113	1361.820	0.080
191.411	1265.017	1374.264	1402.449	0.982	1368.798	1359.347	0.041
191.629	1271.225	1379.704	1413.406	0.982	1381.534	1361.506	0.087
191.847	1259.693	1370.168	1409.502	0.981	1372.293	1354.915	0.073
192.065	1270.035	1375.237	1422.813	0.980	1382.750	1371.546	0.045
192.283	1258.797	1372.369	1422.263	0.978	1370.885	1360.016	0.044
192.501	1274.336	1375.416	1433.386	0.976	1383.697	1369.796	0.059
192.719	1263.648	1371.486	1428.202	0.974	1374.776	1366.701	0.033
192.937	1273.363	1378.744	1446.263	0.971	1383.902	1371.509	0.052
193.155	1266.720	1365.893	1446.340	0.968	1370.795	1366.328	0.019
193.373	1268.217	1373.009	1464.144	0.964	1381.125	1373.043	0.032
193.591	1264.544	1374.085	1476.662	0.960	1380.958	1376.585	0.017
193.809	1271.187	1380.843	1484.675	0.955	1383.352	1370.114	0.055
194.027	1266.323	1373.777	1474.051	0.950	1377.093	1355.741	0.093
194.245	1272.403	1378.539	1466.717	0.945	1384.964	1347.811	0.174
194.463	1264.864	1378.155	1439.530	0.942	1369.195	1325.803	0.234
194.681	1273.529	1378.718	1431.863	0.940	1383.825	1323.241	0.346
194.899	1262.355	1377.233	1418.001	0.941	1378.782	1306.714	0.419
195.117	1268.397	1380.254	1421.649	0.943	1383.134	1318.908	0.356
195.335	1266.681	1372.779	1412.305	0.947	1381.073	1313.518	0.388
195.553	1272.864	1379.921	1411.703	0.951	1388.920	1322.908	0.365
195.770	1268.781	1382.174	1396.151	0.955	1380.203	1317.443	0.360
195.988	1276.358	1387.524	1397.879	0.961	1389.291	1326.302	0.354
196.206	1269.049	1379.230	1399.607	0.967	1380.216	1333.645	0.236
196.424	1271.558	1387.716	1410.103	0.972	1385.822	1352.407	0.150
196.642	1261.818	1375.992	1403.563	0.977	1378.334	1345.618	0.143
196.860	1268.934	1376.581	1401.975	0.980	1382.097	1352.031	0.134
197.078	1262.278	1371.064	1395.665	0.983	1377.707	1355.354	0.093
197.295	1269.728	1379.717	1404.049	0.984	1383.236	1358.629	0.106
197.513	1270.816	1374.277	1396.830	0.985	1379.128	1359.457	0.087
197.731	1276.704	1383.403	1411.114	0.986	1392.900	1365.021	0.119
197.949	1262.253	1370.974	1397.137	0.986	1375.198	1354.221	0.089
198.167	1269.446	1378.641	1396.855	0.986	1379.128	1361.431	0.076
198.384	1265.709	1375.941	1397.534	0.986	1385.681	1358.798	0.110
198.602	1273.926	1382.584	1402.897	0.986	1388.779	1367.270	0.090
198.820	1264.390	1372.741	1397.495	0.985	1374.968	1353.202	0.095
199.038	1273.849	1378.949	1402.500	0.985	1382.289	1364.877	0.076
199.255	1268.256	1370.782	1394.360	0.985	1376.977	1362.274	0.063
199.473	1273.785	1378.654	1405.265	0.984	1386.091	1360.404	0.113
199.691	1268.793	1370.398	1394.513	0.984	1375.838	1356.328	0.087
199.908	1273.248	1385.553	1402.219	0.984	1383.736	1363.597	0.087
200.126	1264.211	1374.341	1395.217	0.984	1376.145	1355.608	0.088
200.344	1272.813	1377.950	1402.475	0.984	1384.337	1361.302	0.100
200.561	1260.486	1364.946	1398.519	0.984	1378.117	1354.817	0.096
200.779	1273.504	1383.134	1402.603	0.983	1387.537	1362.217	0.109
200.997	1269.561	1378.872	1398.430	0.983	1380.293	1359.704	0.089
201.214	1271.085	1378.347	1403.844	0.983	1384.171	1361.127	0.099
201.432	1258.771	1372.254	1393.528	0.983	1376.363	1350.442	0.108
