wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1129.168	1140.964	1127.448	1.012	1183.265	1200.301	-0.119
182.898	1139.326	1130.233	1132.158	1.009	1190.971	1197.190	-0.049
183.116	1141.906	1145.306	1141.046	1.007	1205.127	1215.917	-0.068
183.335	1159.683	1149.975	1158.577	1.005	1208.967	1223.057	-0.109
183.553	1148.829	1149.115	1160.051	1.003	1211.809	1212.579	-0.005
183.772	1157.717	1164.024	1151.163	1.001	1219.847	1211.217	0.065
183.990	1146.330	1138.220	1143.545	1.000	1203.130	1207.218	-0.030
184.209	1146.289	1152.761	1152.228	1.000	1207.636	1208.012	-0.003
184.427	1137.155	1144.978	1149.525	1.000	1200.878	1199.929	0.007
184.645	1152.843	1154.645	1154.358	1.000	1215.009	1211.516	0.025
184.864	1154.071	1147.436	1145.019	0.999	1206.254	1211.477	-0.041
185.082	1155.095	1149.648	1155.382	0.999	1216.852	1209.354	0.056
185.300	1153.785	1149.361	1143.340	0.999	1201.390	1203.636	-0.020
185.519	1155.996	1159.150	1156.734	0.999	1219.642	1208.271	0.085
185.737	1141.210	1151.573	1150.631	1.000	1204.334	1207.471	-0.021
185.956	1154.235	1212.397	1192.819	1.000	1270.406	1248.926	0.089
186.174	1154.604	1240.127	1208.547	1.002	1290.553	1259.550	0.112
186.392	1150.508	1245.779	1215.469	1.004	1289.478	1270.401	0.064
186.611	1140.555	1213.462	1202.403	1.007	1284.691	1259.573	0.083
186.829	1158.167	1240.578	1220.671	1.009	1304.223	1287.307	0.053
187.047	1148.501	1230.297	1212.070	1.011	1290.707	1279.137	0.037
187.265	1153.047	1236.318	1219.893	1.013	1299.615	1285.202	0.045
187.484	1149.689	1248.974	1216.616	1.015	1303.404	1285.046	0.055
187.702	1162.837	1230.788	1209.817	1.016	1296.364	1278.842	0.061
187.920	1145.511	1236.645	1218.091	1.017	1295.596	1291.963	0.011
188.138	1152.843	1246.967	1218.541	1.018	1303.737	1288.996	0.045
188.357	1155.177	1241.192	1208.424	1.019	1290.144	1290.998	-0.003
