wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1129.168	1140.964	1127.448	1.012	1189.691	1204.575	-0.095
182.898	1139.326	1130.233	1132.158	1.009	1194.887	1200.238	-0.040
183.116	1141.906	1145.306	1141.046	1.007	1219.207	1218.855	0.002
183.335	1159.683	1149.975	1158.577	1.005	1217.799	1220.716	-0.021
183.553	1148.829	1149.115	1160.051	1.003	1224.890	1214.709	0.062
183.772	1157.717	1164.024	1151.163	1.001	1224.557	1216.702	0.054
183.990	1146.330	1138.220	1143.545	1.000	1207.201	1206.578	0.004
184.209	1146.289	1152.761	1152.228	1.000	1206.100	1209.727	-0.026
184.427	1137.155	1144.978	1149.525	1.000	1212.679	1201.516	0.069
184.645	1152.843	1154.645	1154.358	1.000	1219.309	1223.671	-0.028
184.864	1154.071	1147.436	1145.019	0.999	1207.713	1204.979	0.023
185.082	1155.095	1149.648	1155.382	0.999	1218.618	1219.817	-0.008
185.300	1153.785	1149.361	1143.340	0.999	1209.018	1203.533	0.045
185.519	1155.996	1159.150	1156.734	0.999	1222.509	1213.848	0.061
185.737	1141.210	1151.573	1150.631	1.000	1211.578	1214.380	-0.017
185.956	1154.235	1212.397	1192.819	1.000	1270.611	1250.923	0.080
186.174	1154.604	1240.127	1208.547	1.002	1293.343	1272.371	0.071
186.392	1150.508	1245.779	1215.469	1.004	1291.039	1277.392	0.044
186.611	1140.555	1213.462	1202.403	1.007	1287.456	1265.734	0.069
186.829	1158.167	1240.578	1220.671	1.009	1312.210	1292.708	0.059
187.047	1148.501	1230.297	1212.070	1.011	1295.852	1279.577	0.051
187.265	1153.047	1236.318	1219.893	1.013	1303.711	1291.064	0.038
187.484	1149.689	1248.974	1216.616	1.015	1304.454	1302.707	0.005
187.702	1162.837	1230.788	1209.817	1.016	1298.028	1287.452	0.035
187.920	1145.511	1236.645	1218.091	1.017	1300.281	1295.192	0.015
188.138	1152.843	1246.967	1218.541	1.018	1301.459	1297.180	0.013
188.357	1155.177	1241.192	1208.424	1.019	1296.057	1297.833	-0.005
188.575	1158.454	1242.789	1225.791	1.020	1300.844	1311.630	-0.032
188.793	1143.545	1230.461	1198.758	1.020	1300.870	1299.197	0.005
189.011	1157.389	1245.001	1210.268	1.021	1307.167	1300.485	0.020
189.229	1146.002	1240.127	1216.616	1.022	1304.684	1305.158	-0.001
189.448	1159.601	1235.007	1214.241	1.022	1302.636	1311.346	-0.026
189.666	1146.781	1237.997	1210.145	1.022	1302.739	1291.726	0.032
189.884	1157.430	1247.745	1215.388	1.023	1299.718	1300.745	-0.003
190.102	1151.982	1256.429	1212.111	1.023	1307.807	1311.066	-0.009
190.320	1162.181	1256.675	1223.047	1.024	1319.865	1315.522	0.012
190.538	1157.758	1257.535	1213.749	1.025	1309.266	1312.061	-0.008
190.757	1156.283	1254.217	1224.767	1.026	1310.802	1317.963	-0.020
190.975	1152.515	1255.364	1209.653	1.027	1312.876	1312.216	0.002
191.193	1147.968	1261.713	1215.101	1.029	1321.836	1307.337	0.038
191.411	1141.906	1268.020	1213.790	1.030	1334.712	1316.044	0.044
191.629	1146.985	1285.428	1221.286	1.032	1340.652	1321.008	0.046
191.847	1143.995	1281.168	1209.162	1.035	1338.168	1317.361	0.049
192.065	1157.307	1304.638	1218.582	1.039	1360.286	1334.668	0.059
192.283	1141.824	1301.197	1217.108	1.043	1353.195	1330.009	0.050
192.501	1153.908	1319.547	1204.861	1.049	1384.785	1349.825	0.071
192.719	1148.255	1334.129	1208.465	1.055	1387.960	1345.359	0.085
192.937	1154.276	1353.789	1218.910	1.063	1400.375	1363.415	0.071
193.155	1146.084	1380.495	1210.472	1.072	1429.661	1350.307	0.143
193.373	1154.604	1410.641	1220.835	1.083	1457.309	1380.534	0.127
193.591	1144.200	1388.154	1218.828	1.094	1454.954	1399.483	0.085
193.809	1153.252	1371.525	1227.389	1.106	1433.041	1417.489	0.025
194.027	1151.982	1331.139	1211.169	1.114	1401.143	1412.732	-0.020
194.245	1153.867	1306.645	1215.101	1.119	1383.326	1443.388	-0.101
194.463	1145.347	1278.219	1210.350	1.119	1341.522	1422.099	-0.149
194.681	1148.870	1271.748	1221.859	1.115	1338.092	1427.868	-0.169
194.899	1156.283	1252.661	1216.207	1.108	1320.658	1411.475	-0.191
195.117	1155.300	1265.849	1226.733	1.097	1324.959	1413.165	-0.182
195.335	1148.009	1250.408	1232.713	1.085	1316.102	1394.595	-0.166
195.553	1165.663	1252.538	1233.696	1.072	1310.700	1380.055	-0.170
195.770	1152.884	1246.640	1227.921	1.060	1298.387	1360.733	-0.155
195.988	1147.313	1241.192	1225.955	1.048	1314.950	1346.970	-0.076
196.206	1153.826	1242.994	1207.114	1.038	1306.041	1328.313	-0.059
196.424	1159.027	1261.180	1225.095	1.030	1310.521	1317.793	-0.020
196.642	1158.536	1248.974	1218.419	1.024	1302.406	1311.476	-0.027
196.860	1149.238	1233.246	1216.248	1.020	1303.609	1301.664	0.006
197.078	1148.378	1240.496	1216.739	1.017	1298.310	1296.142	0.006
197.295	1154.317	1253.766	1220.876	1.016	1309.087	1303.840	0.015
197.513	1152.515	1242.912	1222.514	1.015	1298.643	1298.525	0.000
197.731	1166.810	1256.675	1234.147	1.015	1319.301	1309.670	0.028
197.949	1141.046	1239.922	1205.475	1.015	1297.311	1297.884	-0.002
198.167	1156.078	1248.237	1222.924	1.016	1304.658	1300.813	0.011
198.384	1149.893	1241.315	1215.633	1.017	1303.891	1292.436	0.034
198.602	1158.044	1252.087	1222.596	1.018	1319.481	1302.702	0.048
198.820	1146.985	1238.366	1207.974	1.019	1304.761	1296.257	0.024
199.038	1155.177	1240.332	1215.469	1.020	1305.350	1303.949	0.004
199.255	1153.293	1242.544	1217.067	1.021	1304.761	1300.158	0.013
199.473	1154.522	1243.527	1220.999	1.021	1302.227	1305.238	-0.009
199.691	1155.177	1239.922	1228.495	1.022	1303.865	1308.436	-0.013
199.908	1152.474	1255.651	1217.763	1.021	1317.893	1317.669	0.001
200.126	1147.968	1237.096	1221.286	1.021	1306.834	1299.987	0.019
