wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1129.168	1140.964	1127.448	1.012	1187.259	1204.187	-0.111
182.898	1139.326	1130.233	1132.158	1.009	1193.966	1200.522	-0.049
183.116	1141.906	1145.306	1141.046	1.007	1203.207	1215.015	-0.077
183.335	1159.683	1149.975	1158.577	1.005	1222.817	1219.019	0.027
183.553	1148.829	1149.115	1160.051	1.003	1203.898	1217.532	-0.096
183.772	1157.717	1164.024	1151.163	1.001	1217.748	1211.551	0.047
183.990	1146.330	1138.220	1143.545	1.000	1201.978	1210.214	-0.060
184.209	1146.289	1152.761	1152.228	1.000	1211.527	1203.556	0.057
184.427	1137.155	1144.978	1149.525	1.000	1208.225	1202.642	0.036
184.645	1152.843	1154.645	1154.358	1.000	1216.545	1215.815	0.005
184.864	1154.071	1147.436	1145.019	0.999	1208.609	1208.279	0.003
185.082	1155.095	1149.648	1155.382	0.999	1215.777	1214.266	0.011
185.300	1153.785	1149.361	1143.340	0.999	1213.421	1210.338	0.023
185.519	1155.996	1159.150	1156.734	0.999	1219.873	1215.946	0.028
185.737	1141.210	1151.573	1150.631	1.000	1214.138	1206.063	0.051
185.956	1154.235	1212.397	1192.819	1.000	1272.249	1262.164	0.039
186.174	1154.604	1240.127	1208.547	1.002	1293.343	1258.755	0.125
186.392	1150.508	1245.779	1215.469	1.004	1297.516	1276.030	0.069
186.611	1140.555	1213.462	1202.403	1.007	1288.992	1264.986	0.077
186.829	1158.167	1240.578	1220.671	1.009	1305.119	1288.160	0.053
187.047	1148.501	1230.297	1212.070	1.011	1295.494	1286.129	0.029
187.265	1153.047	1236.318	1219.893	1.013	1297.542	1294.513	0.009
187.484	1149.689	1248.974	1216.616	1.015	1300.025	1295.331	0.014
187.702	1162.837	1230.788	1209.817	1.016	1302.687	1287.504	0.050
187.920	1145.511	1236.645	1218.091	1.017	1301.305	1297.796	0.010
188.138	1152.843	1246.967	1218.541	1.018	1293.625	1300.490	-0.021
188.357	1155.177	1241.192	1208.424	1.019	1298.899	1299.685	-0.002
188.575	1158.454	1242.789	1225.791	1.020	1306.425	1310.351	-0.011
188.793	1143.545	1230.461	1198.758	1.020	1299.155	1299.353	-0.001
189.011	1157.389	1245.001	1210.268	1.021	1304.300	1299.099	0.016
189.229	1146.002	1240.127	1216.616	1.022	1302.431	1304.059	-0.004
189.448	1159.601	1235.007	1214.241	1.022	1306.834	1298.391	0.026
189.666	1146.781	1237.997	1210.145	1.022	1298.079	1296.700	0.004
189.884	1157.430	1247.745	1215.388	1.023	1303.404	1303.808	-0.001
190.102	1151.982	1256.429	1212.111	1.023	1310.009	1308.866	0.003
190.320	1162.181	1256.675	1223.047	1.024	1330.207	1312.848	0.047
190.538	1157.758	1257.535	1213.749	1.025	1314.873	1306.734	0.023
190.757	1156.283	1254.217	1224.767	1.026	1319.941	1316.413	0.009
190.975	1152.515	1255.364	1209.653	1.027	1309.266	1309.454	-0.001
191.193	1147.968	1261.713	1215.101	1.029	1323.909	1321.477	0.006
191.411	1141.906	1268.020	1213.790	1.030	1326.111	1314.013	0.030
191.629	1146.985	1285.428	1221.286	1.032	1333.356	1319.052	0.035
191.847	1143.995	1281.168	1209.162	1.035	1331.000	1307.397	0.059
192.065	1157.307	1304.638	1218.582	1.039	1359.800	1323.870	0.085
192.283	1141.824	1301.197	1217.108	1.043	1353.170	1331.425	0.047
192.501	1153.908	1319.547	1204.861	1.049	1375.467	1340.268	0.075
192.719	1148.255	1334.129	1208.465	1.055	1383.531	1344.009	0.080
192.937	1154.276	1353.789	1218.910	1.063	1410.103	1359.823	0.095
193.155	1146.084	1380.495	1210.472	1.072	1420.855	1357.635	0.114
193.373	1154.604	1410.641	1220.835	1.083	1452.343	1384.220	0.113
193.591	1144.200	1388.154	1218.828	1.094	1453.827	1398.334	0.086
