wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1129.168	1140.964	1127.448	1.012	1182.164	1210.508	-0.186
182.898	1139.326	1130.233	1132.158	1.009	1195.707	1204.448	-0.063
183.116	1141.906	1145.306	1141.046	1.007	1214.343	1222.411	-0.046
183.335	1159.683	1149.975	1158.577	1.005	1222.561	1224.343	-0.012
183.553	1148.829	1149.115	1160.051	1.003	1212.884	1215.967	-0.020
183.772	1157.717	1164.024	1151.163	1.001	1215.623	1220.469	-0.035
183.990	1146.330	1138.220	1143.545	1.000	1207.406	1204.016	0.025
184.209	1146.289	1152.761	1152.228	1.000	1213.626	1209.548	0.027
184.427	1137.155	1144.978	1149.525	1.000	1211.553	1209.476	0.012
184.645	1152.843	1154.645	1154.358	1.000	1212.858	1213.665	-0.006
184.864	1154.071	1147.436	1145.019	0.999	1212.321	1207.409	0.038
185.082	1155.095	1149.648	1155.382	0.999	1210.580	1208.843	0.014
185.300	1153.785	1149.361	1143.340	0.999	1211.169	1207.882	0.026
185.519	1155.996	1159.150	1156.734	0.999	1215.956	1213.465	0.018
185.737	1141.210	1151.573	1150.631	1.000	1214.753	1209.134	0.035
185.956	1154.235	1212.397	1192.819	1.000	1274.067	1258.195	0.062
186.174	1154.604	1240.127	1208.547	1.002	1297.132	1268.294	0.098
186.392	1150.508	1245.779	1215.469	1.004	1292.652	1285.437	0.023
186.611	1140.555	1213.462	1202.403	1.007	1288.787	1269.162	0.062
186.829	1158.167	1240.578	1220.671	1.009	1299.513	1303.225	-0.011
187.047	1148.501	1230.297	1212.070	1.011	1298.540	1285.714	0.039
187.265	1153.047	1236.318	1219.893	1.013	1298.566	1293.632	0.015
187.484	1149.689	1248.974	1216.616	1.015	1308.447	1306.422	0.006
187.702	1162.837	1230.788	1209.817	1.016	1301.228	1295.697	0.018
187.920	1145.511	1236.645	1218.091	1.017	1297.798	1288.135	0.028
188.138	1152.843	1246.967	1218.541	1.018	1304.377	1298.509	0.017
188.357	1155.177	1241.192	1208.424	1.019	1303.123	1298.354	0.014
188.575	1158.454	1242.789	1225.791	1.020	1309.599	1314.032	-0.013
188.793	1143.545	1230.461	1198.758	1.020	1295.494	1300.581	-0.014
189.011	1157.389	1245.001	1210.268	1.021	1310.111	1314.339	-0.012
189.229	1146.002	1240.127	1216.616	1.022	1302.175	1300.763	0.004
189.448	1159.601	1235.007	1214.241	1.022	1306.655	1304.437	0.007
189.666	1146.781	1237.997	1210.145	1.022	1292.499	1305.782	-0.038
189.884	1157.430	1247.745	1215.388	1.023	1300.409	1298.599	0.006
190.102	1151.982	1256.429	1212.111	1.023	1313.874	1300.800	0.037
190.320	1162.181	1256.675	1223.047	1.024	1321.631	1326.269	-0.012
190.538	1157.758	1257.535	1213.749	1.025	1309.574	1305.291	0.012
190.757	1156.283	1254.217	1224.767	1.026	1314.898	1319.461	-0.012
190.975	1152.515	1255.364	1209.653	1.027	1320.274	1314.899	0.014
191.193	1147.968	1261.713	1215.101	1.029	1323.833	1321.793	0.005
191.411	1141.906	1268.020	1213.790	1.030	1329.132	1314.752	0.035
191.629	1146.985	1285.428	1221.286	1.032	1342.828	1329.042	0.032
191.847	1143.995	1281.168	1209.162	1.035	1330.770	1310.789	0.049
192.065	1157.307	1304.638	1218.582	1.039	1360.030	1334.668	0.058
192.283	1141.824	1301.197	1217.108	1.043	1355.602	1326.751	0.063
192.501	1153.908	1319.547	1204.861	1.049	1380.971	1343.301	0.079
192.719	1148.255	1334.129	1208.465	1.055	1387.729	1348.007	0.079
192.937	1154.276	1353.789	1218.910	1.063	1405.931	1368.449	0.070
