wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1184.054	1238.755	1243.650	0.996	1253.050	1251.096	0.012
178.089	1196.894	1243.690	1241.049	0.997	1260.873	1259.257	0.011
178.308	1215.285	1266.075	1268.819	0.998	1289.299	1291.283	-0.011
178.526	1233.594	1283.626	1275.454	0.999	1302.283	1298.171	0.027
178.745	1219.504	1274.349	1275.864	1.000	1298.494	1298.817	-0.002
178.964	1231.239	1278.813	1277.523	1.000	1300.542	1304.932	-0.027
179.182	1214.241	1266.423	1267.856	1.000	1278.629	1280.610	-0.013
179.401	1218.070	1268.225	1265.972	1.000	1292.125	1289.604	0.015
179.620	1211.619	1268.758	1268.409	1.000	1281.721	1288.708	-0.041
179.838	1225.464	1278.711	1279.796	1.001	1302.938	1303.345	-0.002
180.057	1211.374	1272.567	1273.693	1.000	1297.982	1288.389	0.051
180.275	1221.695	1268.983	1274.226	1.000	1293.989	1298.420	-0.026
180.494	1218.193	1269.352	1270.171	1.000	1286.493	1289.745	-0.020
180.713	1222.269	1280.247	1278.526	1.000	1301.423	1298.562	0.016
180.931	1215.285	1273.058	1276.007	1.000	1296.180	1297.839	-0.009
181.150	1223.272	1346.621	1317.704	1.000	1367.797	1314.430	0.200
181.368	1216.063	1382.379	1337.733	1.001	1393.192	1326.878	0.204
181.587	1218.623	1373.655	1338.593	1.004	1390.960	1330.761	0.187
181.805	1207.523	1359.831	1332.736	1.008	1382.174	1323.751	0.177
182.024	1232.201	1394.216	1359.462	1.011	1406.729	1364.561	0.120
182.242	1213.135	1373.388	1346.417	1.014	1400.831	1358.614	0.111
182.461	1222.965	1382.379	1347.461	1.017	1404.067	1357.419	0.129
182.679	1227.921	1385.738	1355.387	1.019	1403.227	1367.257	0.100
182.898	1220.856	1377.484	1333.822	1.022	1398.906	1363.092	0.098
183.116	1226.877	1383.423	1351.782	1.023	1403.412	1374.845	0.077
183.335	1217.251	1378.734	1345.556	1.025	1399.705	1370.916	0.075
183.553	1220.446	1377.566	1347.441	1.026	1400.135	1367.251	0.088
183.772	1238.898	1387.437	1357.926	1.026	1414.696	1385.929	0.078
183.990	1218.439	1381.048	1337.406	1.026	1394.892	1364.930	0.081
184.209	1231.054	1384.693	1346.929	1.027	1408.224	1373.278	0.095
184.427	1222.637	1377.976	1345.515	1.027	1397.862	1368.017	0.081
184.645	1223.170	1385.246	1350.656	1.027	1407.221	1369.411	0.100
184.864	1214.691	1377.955	1334.272	1.027	1400.708	1370.312	0.077
185.082	1213.503	1377.628	1342.689	1.027	1401.609	1363.381	0.099
185.300	1217.497	1380.024	1344.860	1.028	1400.278	1374.207	0.067
185.519	1234.946	1393.090	1356.493	1.028	1417.911	1386.190	0.083
185.737	1216.698	1375.907	1345.208	1.027	1396.694	1368.686	0.073
185.956	1285.326	1454.754	1416.068	1.027	1480.006	1448.368	0.077
186.174	1221.531	1381.334	1345.597	1.027	1414.450	1375.357	0.098
186.392	1218.931	1391.165	1350.820	1.027	1410.334	1375.841	0.086
186.611	1218.214	1393.970	1339.310	1.027	1414.942	1375.667	0.097
186.829	1218.296	1403.944	1349.222	1.028	1419.488	1376.399	0.105
187.047	1210.902	1384.652	1333.228	1.029	1398.967	1366.635	0.082
187.265	1219.893	1401.261	1354.096	1.031	1425.939	1384.493	0.098
187.484	1211.148	1395.035	1341.542	1.033	1417.604	1369.661	0.115
187.702	1215.981	1406.012	1347.707	1.034	1427.188	1377.532	0.116
187.920	1221.695	1414.716	1351.618	1.036	1442.405	1383.050	0.136
188.138	1219.565	1428.704	1353.666	1.038	1443.224	1393.963	0.108
188.357	1206.643	1411.624	1328.394	1.040	1434.438	1374.689	0.132
