wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1184.054	1238.755	1243.650	0.996	1250.592	1251.790	-0.008
178.089	1196.894	1243.690	1241.049	0.997	1256.470	1257.092	-0.005
178.308	1215.285	1266.075	1268.819	0.998	1283.134	1287.215	-0.025
178.526	1233.594	1283.626	1275.454	0.999	1301.996	1296.800	0.034
178.745	1219.504	1274.349	1275.864	1.000	1297.204	1290.811	0.037
178.964	1231.239	1278.813	1277.523	1.000	1298.494	1297.947	0.004
179.182	1214.241	1266.423	1267.856	1.000	1272.567	1280.426	-0.055
179.401	1218.070	1268.225	1265.972	1.000	1281.271	1280.487	0.005
179.620	1211.619	1268.758	1268.409	1.000	1278.608	1288.381	-0.059
179.838	1225.464	1278.711	1279.796	1.001	1293.804	1297.075	-0.020
180.057	1211.374	1272.567	1273.693	1.000	1290.548	1286.463	0.023
180.275	1221.695	1268.983	1274.226	1.000	1292.186	1295.900	-0.022
180.494	1218.193	1269.352	1270.171	1.000	1301.648	1290.872	0.060
180.713	1222.269	1280.247	1278.526	1.000	1291.695	1292.256	-0.003
180.931	1215.285	1273.058	1276.007	1.000	1290.138	1289.057	0.006
181.150	1223.272	1346.621	1317.704	1.000	1370.705	1313.508	0.213
181.368	1216.063	1382.379	1337.733	1.001	1389.117	1325.422	0.199
181.587	1218.623	1373.655	1338.593	1.004	1394.052	1329.425	0.200
181.805	1207.523	1359.831	1332.736	1.008	1375.723	1331.138	0.134
182.024	1232.201	1394.216	1359.462	1.011	1406.217	1358.080	0.141
182.242	1213.135	1373.388	1346.417	1.014	1394.175	1351.717	0.116
182.461	1222.965	1382.379	1347.461	1.017	1400.872	1355.253	0.129
182.679	1227.921	1385.738	1355.387	1.019	1407.774	1370.597	0.101
182.898	1220.856	1377.484	1333.822	1.022	1394.974	1351.732	0.124
183.116	1226.877	1383.423	1351.782	1.023	1406.094	1371.282	0.094
183.335	1217.251	1378.734	1345.556	1.025	1396.018	1371.294	0.065
183.553	1220.446	1377.566	1347.441	1.026	1398.660	1358.280	0.112
183.772	1238.898	1387.437	1357.926	1.026	1408.511	1382.945	0.071
183.990	1218.439	1381.048	1337.406	1.026	1387.724	1358.014	0.084
184.209	1231.054	1384.693	1346.929	1.027	1399.336	1374.519	0.069
184.427	1222.637	1377.976	1345.515	1.027	1400.135	1362.506	0.103
184.645	1223.170	1385.246	1350.656	1.027	1402.510	1369.411	0.089
184.864	1214.691	1377.955	1334.272	1.027	1396.448	1370.439	0.067
185.082	1213.503	1377.628	1342.689	1.027	1385.615	1357.911	0.076
185.300	1217.497	1380.024	1344.860	1.028	1401.568	1365.769	0.094
185.519	1234.946	1393.090	1356.493	1.028	1410.907	1381.498	0.079
185.737	1216.698	1375.907	1345.208	1.027	1400.974	1369.275	0.082
185.956	1285.326	1454.754	1416.068	1.027	1473.841	1446.117	0.069
186.174	1221.531	1381.334	1345.597	1.027	1401.486	1372.098	0.077
186.392	1218.931	1391.165	1350.820	1.027	1405.521	1365.011	0.106
186.611	1218.214	1393.970	1339.310	1.027	1413.447	1364.940	0.124
186.829	1218.296	1403.944	1349.222	1.028	1414.348	1375.536	0.096
187.047	1210.902	1384.652	1333.228	1.029	1396.797	1359.467	0.097
187.265	1219.893	1401.261	1354.096	1.031	1429.523	1378.940	0.120
187.484	1211.148	1395.035	1341.542	1.033	1409.719	1365.178	0.110
187.702	1215.981	1406.012	1347.707	1.034	1424.690	1376.283	0.115
187.920	1221.695	1414.716	1351.618	1.036	1435.176	1380.569	0.128
188.138	1219.565	1428.704	1353.666	1.038	1439.108	1384.889	0.123
188.357	1206.643	1411.624	1328.394	1.040	1431.202	1383.147	0.105
188.575	1218.992	1433.271	1344.635	1.043	1446.624	1388.768	0.127
188.793	1217.395	1439.333	1343.570	1.047	1458.891	1397.446	0.128
189.011	1226.836	1458.318	1350.533	1.052	1470.605	1411.998	0.119
189.229	1218.296	1459.608	1346.396	1.056	1480.599	1409.181	0.138
189.448	1226.918	1490.389	1349.366	1.062	1504.294	1422.979	0.151
189.666	1214.486	1494.812	1343.078	1.068	1501.919	1426.657	0.132
189.884	1220.323	1495.918	1349.939	1.076	1514.350	1437.480	0.132
190.102	1210.534	1467.861	1339.576	1.083	1485.576	1434.132	0.090
190.320	1221.818	1469.233	1351.700	1.089	1483.794	1457.922	0.045
190.538	1225.177	1435.810	1355.120	1.092	1462.086	1462.485	-0.001
190.757	1230.194	1432.800	1360.097	1.093	1448.324	1465.453	-0.033
190.975	1216.883	1411.972	1351.086	1.091	1424.854	1459.579	-0.067
191.193	1223.866	1407.958	1354.137	1.086	1425.140	1450.399	-0.051
191.411	1219.606	1399.234	1346.642	1.080	1417.379	1438.443	-0.044
191.629	1234.946	1405.050	1370.767	1.072	1425.202	1444.764	-0.043
191.847	1222.760	1394.892	1360.199	1.064	1407.569	1430.790	-0.051
192.065	1221.941	1384.959	1349.939	1.056	1404.169	1413.505	-0.022
192.283	1220.835	1382.584	1344.410	1.048	1392.578	1394.858	-0.006
192.501	1220.835	1388.400	1353.113	1.042	1403.432	1391.951	0.028
192.719	1223.866	1398.148	1360.773	1.036	1408.552	1387.276	0.053
192.937	1240.537	1400.995	1361.633	1.032	1427.967	1394.268	0.086
193.155	1212.541	1372.958	1341.256	1.028	1397.800	1355.847	0.112
193.373	1226.078	1384.386	1342.853	1.026	1405.644	1369.102	0.099
193.591	1223.108	1388.175	1350.820	1.024	1409.945	1370.290	0.104
193.809	1233.512	1398.353	1354.895	1.024	1411.501	1372.622	0.107
194.027	1212.357	1378.570	1331.671	1.024	1390.612	1350.802	0.110
194.245	1218.275	1381.683	1342.771	1.024	1405.193	1371.018	0.088
194.463	1221.163	1386.004	1347.133	1.025	1406.668	1364.207	0.113
194.681	1218.828	1384.898	1348.096	1.026	1402.920	1360.363	0.114
194.899	1221.654	1388.400	1346.601	1.027	1400.237	1372.656	0.073
195.117	1229.273	1398.804	1360.445	1.027	1411.091	1377.084	0.090
195.335	1214.118	1388.871	1345.147	1.028	1401.118	1372.673	0.072
195.553	1226.303	1391.922	1354.158	1.029	1405.255	1377.091	0.074
195.770	1214.486	1383.341	1338.409	1.029	1399.111	1366.033	0.086
195.988	1226.713	1398.763	1352.274	1.030	1409.678	1376.031	0.088
196.206	1218.050	1389.711	1341.686	1.031	1405.234	1369.619	0.092
196.424	1221.286	1390.653	1344.348	1.031	1405.521	1378.562	0.069
196.642	1212.316	1380.904	1336.853	1.032	1397.595	1369.623	0.071
196.860	1229.539	1400.176	1363.374	1.033	1417.153	1390.046	0.068
197.078	1213.524	1379.430	1344.963	1.033	1398.374	1371.935	0.067
197.295	1225.771	1399.316	1362.944	1.032	1420.328	1392.551	0.067
197.513	1223.129	1392.045	1352.970	1.032	1410.149	1373.047	0.096
197.731	1226.016	1392.332	1352.540	1.031	1407.487	1385.619	0.056
197.949	1218.214	1384.222	1338.307	1.030	1399.889	1373.697	0.068
198.167	1236.953	1407.815	1355.407	1.030	1420.287	1382.301	0.101
198.384	1218.009	1394.851	1351.536	1.031	1408.183	1373.885	0.086
198.602	1228.843	1399.869	1352.663	1.031	1420.225	1385.688	0.086
198.820	1222.105	1402.080	1348.710	1.032	1416.252	1374.888	0.104
199.038	1217.722	1404.497	1345.864	1.033	1425.222	1374.870	0.121
199.255	1215.224	1415.556	1341.768	1.034	1431.202	1376.115	0.128
199.473	1221.982	1427.250	1345.229	1.037	1440.746	1388.569	0.118
199.691	1228.679	1423.215	1352.642	1.040	1442.855	1392.823	0.116
199.908	1216.371	1404.046	1347.748	1.043	1428.663	1388.583	0.091
200.126	1224.173	1420.430	1356.103	1.045	1428.704	1403.893	0.056
200.344	1223.887	1406.770	1358.909	1.046	1420.533	1401.521	0.044
200.561	1220.364	1400.155	1348.239	1.047	1416.457	1396.655	0.046
