wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
177.870	1087.983	1144.077	1133.551	1.009	1264.948	1278.452	-0.032
178.089	1085.628	1141.353	1141.087	1.007	1275.700	1279.445	-0.008
178.308	1103.814	1163.635	1163.758	1.005	1302.262	1309.159	-0.015
178.526	1115.672	1166.810	1166.810	1.004	1314.161	1318.033	-0.008
178.745	1108.504	1162.366	1172.032	1.002	1312.134	1310.108	0.004
178.964	1112.129	1170.005	1172.032	1.001	1312.809	1307.313	0.012
179.182	1102.032	1151.348	1152.044	1.000	1297.122	1288.465	0.020
179.401	1109.528	1164.434	1165.253	1.000	1298.064	1308.933	-0.024
179.620	1100.005	1161.690	1158.843	0.999	1294.849	1295.246	-0.001
179.838	1113.358	1169.902	1175.862	0.999	1315.595	1309.549	0.013
180.057	1106.026	1161.751	1159.109	0.999	1305.887	1297.227	0.019
180.275	1110.941	1168.243	1162.570	0.999	1309.430	1301.543	0.018
180.494	1103.773	1161.895	1162.284	0.999	1306.502	1303.963	0.005
180.713	1119.829	1162.099	1164.147	1.000	1307.341	1306.916	0.001
180.931	1106.886	1161.034	1165.438	1.000	1305.170	1301.559	0.008
181.150	1110.716	1235.785	1208.609	1.000	1377.566	1326.626	0.092
181.368	1100.046	1269.556	1227.102	1.002	1401.179	1340.190	0.098
181.587	1106.497	1269.311	1228.945	1.005	1399.664	1338.721	0.101
181.805	1093.411	1262.061	1222.228	1.009	1398.292	1340.971	0.090
182.024	1115.815	1276.212	1249.077	1.013	1421.987	1377.331	0.068
182.242	1103.241	1269.659	1238.202	1.017	1407.118	1366.515	0.062
182.461	1108.791	1268.819	1236.420	1.020	1411.399	1372.211	0.060
182.679	1110.245	1279.407	1245.800	1.022	1414.696	1389.446	0.038
182.898	1104.039	1264.436	1228.105	1.025	1406.463	1375.063	0.048
183.116	1111.535	1277.011	1241.069	1.026	1414.430	1381.872	0.049
183.335	1107.746	1270.273	1234.679	1.028	1411.440	1380.857	0.046
183.553	1110.020	1271.789	1239.205	1.029	1406.586	1384.515	0.034
183.772	1122.656	1284.670	1243.711	1.029	1413.897	1392.592	0.033
183.990	1111.535	1261.958	1229.580	1.030	1408.347	1376.638	0.049
184.209	1107.439	1270.498	1237.854	1.030	1411.993	1382.705	0.044
184.427	1106.518	1274.205	1233.676	1.030	1409.433	1380.308	0.044
184.645	1113.747	1278.240	1242.134	1.030	1407.938	1391.010	0.026
184.864	1101.500	1269.065	1234.659	1.030	1406.504	1380.766	0.038
185.082	1104.736	1272.669	1231.444	1.030	1404.825	1379.955	0.038
185.300	1103.712	1271.256	1237.178	1.030	1413.242	1385.207	0.041
185.519	1115.262	1292.084	1244.899	1.030	1426.451	1396.131	0.045
185.737	1111.699	1269.106	1237.219	1.030	1405.664	1380.962	0.038
185.956	1156.754	1328.681	1295.463	1.030	1485.453	1456.795	0.040
186.174	1106.149	1274.390	1237.096	1.030	1416.109	1386.642	0.043
186.392	1118.764	1280.349	1232.550	1.030	1412.464	1384.641	0.043
186.611	1107.398	1286.780	1242.707	1.030	1415.904	1383.278	0.049
186.829	1117.392	1292.555	1239.472	1.031	1428.724	1387.254	0.062
187.047	1098.530	1277.769	1226.836	1.032	1405.603	1382.359	0.034
187.265	1116.184	1307.034	1249.302	1.034	1432.165	1401.483	0.044
187.484	1105.166	1293.128	1230.031	1.036	1411.849	1389.547	0.033
187.702	1109.508	1300.665	1241.438	1.038	1436.712	1395.012	0.059
187.920	1113.071	1308.836	1227.675	1.041	1448.713	1401.934	0.065
188.138	1111.392	1319.732	1233.737	1.044	1450.658	1403.645	0.065
188.357	1105.965	1311.232	1225.832	1.048	1444.924	1404.379	0.055
188.575	1109.753	1323.234	1235.970	1.052	1459.608	1410.268	0.066
188.793	1104.941	1338.081	1227.942	1.056	1474.619	1418.577	0.071
189.011	1113.624	1349.980	1242.441	1.061	1481.951	1431.201	0.064
189.229	1113.153	1356.738	1236.236	1.067	1484.286	1434.015	0.063
189.448	1118.744	1387.806	1237.116	1.073	1510.705	1442.879	0.083
189.666	1101.623	1386.966	1231.444	1.080	1519.490	1450.582	0.078
189.884	1112.948	1393.131	1239.799	1.088	1524.856	1473.018	0.058
190.102	1104.121	1363.087	1236.502	1.096	1498.601	1467.376	0.036
