wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1165.448	1164.245	1161.045	1.003	1198.523	1197.847	0.009
182.898	1171.541	1173.384	1167.777	1.003	1202.030	1212.528	-0.129
183.116	1177.633	1186.542	1182.753	1.003	1217.492	1225.819	-0.082
183.335	1189.588	1188.948	1196.884	1.003	1228.960	1229.425	-0.005
183.553	1172.846	1187.182	1185.979	1.002	1222.535	1226.336	-0.032
183.772	1189.102	1188.692	1188.667	1.001	1231.162	1224.721	0.072
183.990	1182.062	1175.892	1174.459	1.001	1211.066	1220.749	-0.125
184.209	1180.526	1181.012	1195.425	1.000	1223.841	1213.372	0.120
184.427	1178.580	1178.683	1180.603	1.000	1216.545	1211.615	0.060
184.645	1186.209	1187.054	1192.737	0.999	1234.848	1226.925	0.077
184.864	1177.761	1181.960	1189.179	0.998	1215.290	1217.711	-0.027
185.082	1179.297	1188.206	1190.305	0.998	1216.545	1225.088	-0.090
185.300	1187.643	1179.886	1184.904	0.997	1218.695	1218.707	-0.000
185.519	1191.918	1195.297	1192.993	0.997	1225.223	1224.354	0.011
185.737	1181.678	1189.230	1180.321	0.997	1224.865	1217.171	0.085
185.956	1188.820	1241.786	1243.117	0.997	1282.284	1260.426	0.116
186.174	1182.472	1257.965	1264.851	0.998	1298.924	1268.459	0.132
186.392	1190.075	1268.717	1270.534	0.998	1296.569	1280.158	0.073
186.611	1176.225	1258.118	1258.144	0.998	1294.572	1271.910	0.092
186.829	1194.811	1269.613	1285.740	0.998	1310.137	1293.836	0.066
187.047	1184.571	1268.051	1265.184	0.998	1310.034	1274.479	0.145
187.265	1187.822	1266.797	1266.771	0.998	1305.682	1282.905	0.093
187.484	1192.455	1269.510	1275.014	0.998	1313.260	1282.820	0.126
187.702	1182.779	1265.901	1271.225	0.998	1302.815	1275.661	0.111
187.920	1182.958	1266.157	1268.665	0.998	1307.884	1284.049	0.092
188.138	1192.174	1268.614	1270.585	0.997	1310.598	1288.774	0.088
188.357	1188.667	1270.893	1267.872	0.998	1311.135	1285.997	0.100
188.575	1194.990	1275.705	1280.083	0.998	1319.378	1292.379	0.106
188.793	1184.750	1261.958	1277.241	0.998	1305.145	1281.868	0.093
189.011	1189.614	1278.931	1274.246	0.997	1307.833	1286.562	0.086
189.229	1182.369	1267.309	1271.405	0.997	1309.062	1281.110	0.108
189.448	1182.932	1275.219	1284.998	0.997	1314.079	1282.505	0.120
189.666	1176.686	1263.878	1272.736	0.997	1299.308	1282.953	0.062
189.884	1180.910	1274.553	1275.219	0.997	1311.750	1286.215	0.094
190.102	1179.860	1280.979	1271.328	0.997	1308.857	1276.090	0.127
190.320	1195.604	1293.932	1283.820	0.997	1323.141	1295.509	0.106
190.538	1183.726	1269.613	1282.515	0.998	1320.837	1279.880	0.154
190.757	1192.967	1284.358	1281.772	0.999	1323.218	1291.969	0.119
190.975	1182.830	1280.953	1277.549	0.999	1318.252	1286.242	0.117
191.193	1178.708	1292.780	1277.267	1.000	1331.231	1291.354	0.132
191.411	1189.819	1291.884	1275.757	1.001	1332.562	1292.387	0.144
191.629	1192.558	1294.265	1279.161	1.002	1341.752	1290.391	0.183
191.847	1177.480	1297.337	1263.827	1.004	1337.989	1280.550	0.192
192.065	1194.734	1324.140	1282.182	1.007	1365.176	1305.362	0.188
192.283	1185.083	1323.167	1271.865	1.011	1363.384	1303.450	0.178
192.501	1188.615	1343.672	1275.577	1.015	1376.363	1311.548	0.184
192.719	1193.300	1354.424	1278.880	1.021	1385.528	1312.972	0.206
192.937	1190.433	1366.840	1274.502	1.028	1413.482	1326.939	0.213
193.155	1169.851	1388.267	1266.797	1.035	1425.770	1328.511	0.208
193.373	1181.908	1419.268	1276.013	1.045	1465.091	1350.361	0.226
193.591	1184.494	1415.940	1276.678	1.056	1455.005	1360.543	0.187
193.809	1189.998	1402.782	1287.174	1.066	1456.695	1384.409	0.137
194.027	1180.500	1364.946	1277.088	1.075	1425.821	1382.991	0.083
194.245	1190.331	1333.228	1288.044	1.081	1393.848	1390.222	0.008
194.463	1176.609	1313.874	1274.963	1.082	1359.058	1388.967	-0.066
194.681	1190.049	1302.047	1283.846	1.079	1346.770	1397.496	-0.122
194.899	1181.422	1292.678	1274.656	1.073	1329.209	1380.502	-0.129
195.117	1194.759	1289.068	1290.451	1.065	1329.618	1380.751	-0.140
195.335	1186.363	1282.080	1289.734	1.054	1319.148	1368.000	-0.136
195.553	1192.788	1282.387	1298.438	1.043	1320.837	1366.735	-0.133
195.770	1181.934	1267.821	1293.727	1.032	1311.929	1341.793	-0.090
195.988	1187.412	1276.141	1293.113	1.020	1312.006	1320.153	-0.028
196.206	1180.680	1272.045	1283.641	1.010	1322.834	1299.517	0.078
196.424	1193.019	1273.427	1286.406	1.002	1321.170	1292.759	0.109
196.642	1190.996	1276.909	1278.752	0.996	1314.028	1284.231	0.120
196.860	1186.926	1271.200	1279.033	0.991	1310.905	1282.039	0.115
197.078	1178.964	1273.888	1277.421	0.988	1304.402	1263.239	0.173
197.295	1188.078	1284.640	1290.963	0.987	1315.871	1278.982	0.148
197.513	1192.020	1279.648	1280.492	0.987	1321.093	1275.474	0.189
197.731	1202.772	1280.390	1289.760	0.987	1324.985	1283.753	0.179
197.949	1178.350	1265.593	1274.912	0.988	1307.602	1275.451	0.124
198.167	1184.648	1276.448	1280.006	0.989	1317.253	1273.500	0.174
198.384	1184.008	1267.718	1280.441	0.990	1309.215	1274.674	0.140
198.602	1192.916	1278.521	1290.016	0.991	1322.450	1279.535	0.175
198.820	1183.521	1269.971	1271.942	0.992	1305.094	1275.898	0.119
199.038	1187.438	1273.069	1282.412	0.992	1313.670	1278.965	0.140
199.255	1185.800	1266.925	1280.211	0.993	1307.986	1275.075	0.136
199.473	1184.084	1276.678	1285.305	0.993	1311.545	1281.846	0.115
199.691	1183.393	1272.275	1278.419	0.993	1308.678	1283.005	0.100
199.908	1200.622	1279.673	1284.793	0.994	1326.009	1290.434	0.145
200.126	1178.478	1277.472	1281.056	0.994	1316.665	1272.068	0.169
200.344	1187.003	1282.489	1285.228	0.994	1318.047	1289.517	0.107
200.561	1176.456	1269.177	1273.427	0.995	1311.929	1276.152	0.133
200.779	1191.534	1284.230	1287.046	0.995	1326.546	1287.798	0.147
