wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1165.448	1164.245	1161.045	1.003	1200.135	1201.826	-0.021
182.898	1171.541	1173.384	1167.777	1.003	1205.178	1209.652	-0.054
183.116	1177.633	1186.542	1182.753	1.003	1218.772	1220.013	-0.013
183.335	1189.588	1188.948	1196.884	1.003	1234.132	1238.977	-0.045
183.553	1172.846	1187.182	1185.979	1.002	1224.660	1222.950	0.015
183.772	1189.102	1188.692	1188.667	1.001	1238.023	1229.847	0.079
183.990	1182.062	1175.892	1174.459	1.001	1214.881	1216.931	-0.026
184.209	1180.526	1181.012	1195.425	1.000	1223.815	1224.718	-0.009
184.427	1178.580	1178.683	1180.603	1.000	1210.247	1215.274	-0.064
184.645	1186.209	1187.054	1192.737	0.999	1223.892	1228.536	-0.050
184.864	1177.761	1181.960	1189.179	0.998	1226.836	1215.412	0.115
185.082	1179.297	1188.206	1190.305	0.998	1221.767	1222.458	-0.007
185.300	1187.643	1179.886	1184.904	0.997	1220.410	1217.533	0.040
185.519	1191.918	1195.297	1192.993	0.997	1227.578	1229.713	-0.025
185.737	1181.678	1189.230	1180.321	0.997	1222.868	1223.066	-0.002
185.956	1188.820	1241.786	1243.117	0.997	1277.369	1267.576	0.051
186.174	1182.472	1257.965	1264.851	0.998	1294.803	1282.358	0.051
186.392	1190.075	1268.717	1270.534	0.998	1302.022	1280.234	0.094
186.611	1176.225	1258.118	1258.144	0.998	1296.799	1269.533	0.111
186.829	1194.811	1269.613	1285.740	0.998	1314.642	1294.347	0.081
187.047	1184.571	1268.051	1265.184	0.998	1305.298	1278.338	0.110
187.265	1187.822	1266.797	1266.771	0.998	1306.374	1282.088	0.100
187.484	1192.455	1269.510	1275.014	0.998	1312.978	1285.656	0.112
187.702	1182.779	1265.901	1271.225	0.998	1297.977	1285.188	0.051
187.920	1182.958	1266.157	1268.665	0.998	1310.495	1278.559	0.125
188.138	1192.174	1268.614	1270.585	0.997	1306.706	1283.565	0.098
188.357	1188.667	1270.893	1267.872	0.998	1310.572	1292.074	0.071
188.575	1194.990	1275.705	1280.083	0.998	1317.509	1292.736	0.098
188.793	1184.750	1261.958	1277.241	0.998	1306.578	1275.074	0.130
189.011	1189.614	1278.931	1274.246	0.997	1311.212	1287.379	0.095
