wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1165.448	1164.245	1161.045	1.003	1201.364	1205.676	-0.049
182.898	1171.541	1173.384	1167.777	1.003	1206.305	1207.828	-0.019
183.116	1177.633	1186.542	1182.753	1.003	1219.335	1225.125	-0.056
183.335	1189.588	1188.948	1196.884	1.003	1236.333	1236.486	-0.001
183.553	1172.846	1187.182	1185.979	1.002	1225.428	1229.825	-0.035
183.772	1189.102	1188.692	1188.667	1.001	1227.527	1229.642	-0.023
183.990	1182.062	1175.892	1174.459	1.001	1216.365	1215.625	0.009
184.209	1180.526	1181.012	1195.425	1.000	1220.820	1223.796	-0.031
184.427	1178.580	1178.683	1180.603	1.000	1216.545	1228.582	-0.120
184.645	1186.209	1187.054	1192.737	0.999	1231.444	1236.923	-0.050
184.864	1177.761	1181.960	1189.179	0.998	1217.005	1220.599	-0.038
185.082	1179.297	1188.206	1190.305	0.998	1228.090	1220.593	0.072
185.300	1187.643	1179.886	1184.904	0.997	1220.257	1215.593	0.067
185.519	1191.918	1195.297	1192.993	0.997	1234.260	1226.880	0.083
185.737	1181.678	1189.230	1180.321	0.997	1224.839	1219.162	0.061
185.956	1188.820	1241.786	1243.117	0.997	1278.572	1274.726	0.019
186.174	1182.472	1257.965	1264.851	0.998	1306.886	1280.416	0.104
186.392	1190.075	1268.717	1270.534	0.998	1309.394	1280.439	0.121
186.611	1176.225	1258.118	1258.144	0.998	1301.484	1273.315	0.111
186.829	1194.811	1269.613	1285.740	0.998	1316.178	1293.299	0.091
187.047	1184.571	1268.051	1265.184	0.998	1304.070	1278.644	0.104
187.265	1187.822	1266.797	1266.771	0.998	1305.375	1285.332	0.081
187.484	1192.455	1269.510	1275.014	0.998	1314.950	1293.294	0.084
187.702	1182.779	1265.901	1271.225	0.998	1308.626	1276.734	0.127
187.920	1182.958	1266.157	1268.665	0.998	1314.745	1291.174	0.086
188.138	1192.174	1268.614	1270.585	0.997	1310.598	1280.986	0.125
188.357	1188.667	1270.893	1267.872	0.998	1311.033	1281.324	0.121
188.575	1194.990	1275.705	1280.083	0.998	1309.625	1303.566	0.024
188.793	1184.750	1261.958	1277.241	0.998	1303.379	1281.919	0.087
189.011	1189.614	1278.931	1274.246	0.997	1316.358	1292.716	0.090
189.229	1182.369	1267.309	1271.405	0.997	1309.369	1285.016	0.092
189.448	1182.932	1275.219	1284.998	0.997	1312.082	1285.441	0.100
189.666	1176.686	1263.878	1272.736	0.997	1307.577	1285.633	0.080
189.884	1180.910	1274.553	1275.219	0.997	1312.927	1289.021	0.087
190.102	1179.860	1280.979	1271.328	0.997	1317.279	1281.652	0.130
190.320	1195.604	1293.932	1283.820	0.997	1326.137	1296.249	0.113
190.538	1183.726	1269.613	1282.515	0.998	1324.908	1275.486	0.187
190.757	1192.967	1284.358	1281.772	0.999	1322.322	1292.941	0.112
190.975	1182.830	1280.953	1277.549	0.999	1324.217	1291.612	0.114
191.193	1178.708	1292.780	1277.267	1.000	1332.741	1288.335	0.148
191.411	1189.819	1291.884	1275.757	1.001	1328.159	1298.356	0.105
191.629	1192.558	1294.265	1279.161	1.002	1347.359	1299.398	0.161
191.847	1177.480	1297.337	1263.827	1.004	1339.346	1278.493	0.205
192.065	1194.734	1324.140	1282.182	1.007	1362.488	1303.506	0.188
192.283	1185.083	1323.167	1271.865	1.011	1365.765	1293.876	0.220
192.501	1188.615	1343.672	1275.577	1.015	1384.273	1311.028	0.204
192.719	1193.300	1354.424	1278.880	1.021	1393.694	1319.114	0.202
192.937	1190.433	1366.840	1274.502	1.028	1412.919	1324.097	0.221
193.155	1169.851	1388.267	1266.797	1.035	1422.186	1330.313	0.197
193.373	1181.908	1419.268	1276.013	1.045	1454.851	1350.976	0.208
193.591	1184.494	1415.940	1276.678	1.056	1459.306	1355.355	0.206
193.809	1189.998	1402.782	1287.174	1.066	1449.962	1373.353	0.152
194.027	1180.500	1364.946	1277.088	1.075	1420.266	1384.009	0.071
194.245	1190.331	1333.228	1288.044	1.081	1388.984	1409.039	-0.042
194.463	1176.609	1313.874	1274.963	1.082	1352.197	1388.413	-0.081
194.681	1190.049	1302.047	1283.846	1.079	1353.503	1396.170	-0.101
194.899	1181.422	1292.678	1274.656	1.073	1331.512	1388.139	-0.139
195.117	1194.759	1289.068	1290.451	1.065	1330.872	1387.264	-0.151
195.335	1186.363	1282.080	1289.734	1.054	1313.465	1377.664	-0.178
195.553	1192.788	1282.387	1298.438	1.043	1325.625	1359.044	-0.097
195.770	1181.934	1267.821	1293.727	1.032	1316.306	1335.878	-0.059
195.988	1187.412	1276.141	1293.113	1.020	1320.812	1326.710	-0.019
196.206	1180.680	1272.045	1283.641	1.010	1307.423	1305.983	0.005
196.424	1193.019	1273.427	1286.406	1.002	1318.482	1299.069	0.073
196.642	1190.996	1276.909	1278.752	0.996	1319.301	1292.259	0.103
196.860	1186.926	1271.200	1279.033	0.991	1317.407	1282.724	0.134
197.078	1178.964	1273.888	1277.421	0.988	1314.105	1267.338	0.184
197.295	1188.078	1284.640	1290.963	0.987	1318.610	1276.329	0.170
197.513	1192.020	1279.648	1280.492	0.987	1312.415	1278.303	0.145
197.731	1202.772	1280.390	1289.760	0.987	1323.372	1288.832	0.147
197.949	1178.350	1265.593	1274.912	0.988	1308.140	1267.206	0.165
198.167	1184.648	1276.448	1280.006	0.989	1314.412	1278.260	0.142
198.384	1184.008	1267.718	1280.441	0.990	1322.604	1279.312	0.163
198.602	1192.916	1278.521	1290.016	0.991	1313.567	1285.927	0.113
198.820	1183.521	1269.971	1271.942	0.992	1306.860	1280.593	0.104
199.038	1187.438	1273.069	1282.412	0.992	1316.486	1284.757	0.123
199.255	1185.800	1266.925	1280.211	0.993	1322.143	1284.683	0.140
199.473	1184.084	1276.678	1285.305	0.993	1325.932	1279.736	0.171
199.691	1183.393	1272.275	1278.419	0.993	1312.210	1292.185	0.073
199.908	1200.622	1279.673	1284.793	0.994	1323.653	1285.881	0.159
200.126	1178.478	1277.472	1281.056	0.994	1310.802	1288.301	0.081
200.344	1187.003	1282.489	1285.228	0.994	1321.375	1295.168	0.094
200.561	1176.456	1269.177	1273.427	0.995	1316.690	1282.748	0.120
200.779	1191.534	1284.230	1287.046	0.995	1321.093	1287.441	0.131
200.997	1183.880	1276.243	1278.700	0.996	1318.533	1288.989	0.108
201.214	1185.646	1284.307	1282.643	0.996	1323.039	1296.177	0.094
201.432	1177.300	1272.301	1275.296	0.997	1311.110	1285.435	0.093
201.650	1194.990	1286.073	1293.062	0.998	1327.237	1298.336	0.107
201.867	1176.174	1270.509	1269.357	0.998	1323.474	1284.751	0.132
202.085	1194.657	1284.793	1292.268	0.998	1327.903	1304.298	0.085
202.302	1188.564	1283.308	1286.124	0.998	1324.217	1298.198	0.092
202.520	1189.153	1289.836	1287.814	0.998	1334.175	1288.310	0.165
202.738	1182.676	1286.227	1271.558	0.998	1322.911	1290.051	0.116
202.955	1196.705	1301.203	1287.481	0.999	1344.799	1293.920	0.183
203.173	1179.425	1295.980	1279.212	1.001	1333.919	1291.230	0.140
203.390	1188.948	1301.228	1289.017	1.003	1348.971	1295.372	0.177
203.608	1182.318	1296.134	1283.334	1.004	1335.327	1296.531	0.127
203.825	1187.489	1286.048	1278.675	1.006	1335.506	1301.113	0.115
204.043	1185.492	1281.977	1271.021	1.007	1336.709	1289.544	0.162
204.260	1195.451	1285.382	1278.777	1.008	1328.901	1298.881	0.111
204.478	1181.576	1287.840	1286.713	1.008	1318.738	1300.611	0.062
204.695	1183.931	1274.272	1284.640	1.008	1318.431	1296.835	0.076
