wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1165.448	1164.245	1161.045	1.003	1200.135	1205.035	-0.057
182.898	1171.541	1173.384	1167.777	1.003	1208.737	1215.045	-0.068
183.116	1177.633	1186.542	1182.753	1.003	1217.313	1223.610	-0.064
183.335	1189.588	1188.948	1196.884	1.003	1223.175	1234.432	-0.126
183.553	1172.846	1187.182	1185.979	1.002	1221.562	1232.518	-0.088
183.772	1189.102	1188.692	1188.667	1.001	1218.618	1233.872	-0.181
183.990	1182.062	1175.892	1174.459	1.001	1215.674	1214.933	0.010
184.209	1180.526	1181.012	1195.425	1.000	1225.709	1223.309	0.024
184.427	1178.580	1178.683	1180.603	1.000	1216.929	1210.514	0.079
184.645	1186.209	1187.054	1192.737	0.999	1227.604	1231.042	-0.035
184.864	1177.761	1181.960	1189.179	0.998	1220.871	1211.502	0.106
185.082	1179.297	1188.206	1190.305	0.998	1226.093	1219.597	0.065
185.300	1187.643	1179.886	1184.904	0.997	1220.871	1221.311	-0.006
185.519	1191.918	1195.297	1192.993	0.997	1221.818	1224.252	-0.034
185.737	1181.678	1189.230	1180.321	0.997	1223.585	1215.818	0.089
185.956	1188.820	1241.786	1243.117	0.997	1277.088	1263.158	0.075
186.174	1182.472	1257.965	1264.851	0.998	1305.401	1277.478	0.112
186.392	1190.075	1268.717	1270.534	0.998	1305.938	1281.870	0.101
186.611	1176.225	1258.118	1258.144	0.998	1299.283	1278.862	0.079
186.829	1194.811	1269.613	1285.740	0.998	1316.230	1298.104	0.070
187.047	1184.571	1268.051	1265.184	0.998	1299.743	1294.027	0.022
187.265	1187.822	1266.797	1266.771	0.998	1317.100	1287.631	0.112
187.484	1192.455	1269.510	1275.014	0.998	1311.366	1289.207	0.090
187.702	1182.779	1265.901	1271.225	0.998	1306.066	1283.988	0.086
187.920	1182.958	1266.157	1268.665	0.998	1308.114	1286.654	0.082
188.138	1192.174	1268.614	1270.585	0.997	1315.846	1289.923	0.102
188.357	1188.667	1270.893	1267.872	0.998	1307.474	1284.005	0.096
188.575	1194.990	1275.705	1280.083	0.998	1319.660	1296.005	0.091
188.793	1184.750	1261.958	1277.241	0.998	1308.498	1281.306	0.108
189.011	1189.614	1278.931	1274.246	0.997	1312.825	1296.929	0.060
189.229	1182.369	1267.309	1271.405	0.997	1305.887	1283.867	0.085
189.448	1182.932	1275.219	1284.998	0.997	1315.257	1284.676	0.114
189.666	1176.686	1263.878	1272.736	0.997	1314.642	1278.947	0.130
189.884	1180.910	1274.553	1275.219	0.997	1310.342	1285.679	0.092
190.102	1179.860	1280.979	1271.328	0.997	1308.191	1288.131	0.074
190.320	1195.604	1293.932	1283.820	0.997	1323.397	1301.839	0.080
190.538	1183.726	1269.613	1282.515	0.998	1322.348	1292.832	0.104
190.757	1192.967	1284.358	1281.772	0.999	1328.031	1297.235	0.112
190.975	1182.830	1280.953	1277.549	0.999	1319.301	1291.407	0.099
191.193	1178.708	1292.780	1277.267	1.000	1332.536	1295.705	0.119
191.411	1189.819	1291.884	1275.757	1.001	1329.593	1288.467	0.151
191.629	1192.558	1294.265	1279.161	1.002	1339.448	1300.322	0.135
191.847	1177.480	1297.337	1263.827	1.004	1342.316	1290.989	0.162
192.065	1194.734	1324.140	1282.182	1.007	1376.491	1312.993	0.187
192.283	1185.083	1323.167	1271.865	1.011	1368.530	1301.664	0.197
192.501	1188.615	1343.672	1275.577	1.015	1376.414	1314.719	0.173
192.719	1193.300	1354.424	1278.880	1.021	1392.107	1314.017	0.217
192.937	1190.433	1366.840	1274.502	1.028	1413.713	1328.754	0.208
193.155	1169.851	1388.267	1266.797	1.035	1435.856	1329.332	0.222
193.373	1181.908	1419.268	1276.013	1.045	1467.216	1346.054	0.240
193.591	1184.494	1415.940	1276.678	1.056	1464.170	1361.327	0.199
193.809	1189.998	1402.782	1287.174	1.066	1458.563	1376.247	0.159
194.027	1180.500	1364.946	1277.088	1.075	1415.479	1385.358	0.060
194.245	1190.331	1333.228	1288.044	1.081	1394.513	1409.343	-0.030
194.463	1176.609	1313.874	1274.963	1.082	1352.274	1392.402	-0.089
194.681	1190.049	1302.047	1283.846	1.079	1348.818	1394.512	-0.110
194.899	1181.422	1292.678	1274.656	1.073	1335.736	1386.161	-0.123
195.117	1194.759	1289.068	1290.451	1.065	1331.384	1394.867	-0.166
195.335	1186.363	1282.080	1289.734	1.054	1313.593	1378.149	-0.178
195.553	1192.788	1282.387	1298.438	1.043	1317.945	1359.685	-0.125
195.770	1181.934	1267.821	1293.727	1.032	1308.191	1346.653	-0.115
195.988	1187.412	1276.141	1293.113	1.020	1320.069	1331.804	-0.037
196.206	1180.680	1272.045	1283.641	1.010	1317.484	1305.957	0.038
196.424	1193.019	1273.427	1286.406	1.002	1317.689	1295.811	0.084
196.642	1190.996	1276.909	1278.752	0.996	1317.228	1288.258	0.113
196.860	1186.926	1271.200	1279.033	0.991	1318.917	1281.531	0.145
197.078	1178.964	1273.888	1277.421	0.988	1309.292	1270.071	0.155
197.295	1188.078	1284.640	1290.963	0.987	1316.255	1282.191	0.134
197.513	1192.020	1279.648	1280.492	0.987	1314.335	1289.164	0.100
197.731	1202.772	1280.390	1289.760	0.987	1330.309	1285.472	0.188
197.949	1178.350	1265.593	1274.912	0.988	1311.494	1266.422	0.179
198.167	1184.648	1276.448	1280.006	0.989	1312.492	1278.184	0.136
198.384	1184.008	1267.718	1280.441	0.990	1313.081	1278.197	0.137
198.602	1192.916	1278.521	1290.016	0.991	1325.625	1285.978	0.154
198.820	1183.521	1269.971	1271.942	0.992	1310.137	1276.456	0.134
199.038	1187.438	1273.069	1282.412	0.992	1310.623	1286.408	0.095
199.255	1185.800	1266.925	1280.211	0.993	1308.242	1289.029	0.074
199.473	1184.084	1276.678	1285.305	0.993	1306.758	1285.584	0.082
199.691	1183.393	1272.275	1278.419	0.993	1315.513	1289.566	0.095
199.908	1200.622	1279.673	1284.793	0.994	1327.442	1288.399	0.160
200.126	1178.478	1277.472	1281.056	0.994	1310.649	1284.637	0.095
200.344	1187.003	1282.489	1285.228	0.994	1326.213	1295.346	0.109
200.561	1176.456	1269.177	1273.427	0.995	1310.188	1284.607	0.092
200.779	1191.534	1284.230	1287.046	0.995	1320.351	1288.970	0.121
200.997	1183.880	1276.243	1278.700	0.996	1312.210	1287.051	0.095
201.214	1185.646	1284.307	1282.643	0.996	1322.322	1293.703	0.102
201.432	1177.300	1272.301	1275.296	0.997	1305.426	1283.904	0.080
