wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs
182.679	1189.153	1191.585	1190.356	1.001	1203.873	1198.325	0.205
182.898	1193.351	1191.252	1196.654	1.000	1210.260	1207.082	0.090
183.116	1195.015	1196.641	1197.524	0.999	1213.677	1211.151	0.063
183.335	1201.876	1203.604	1205.588	0.999	1220.730	1215.670	0.136
183.553	1190.817	1201.722	1200.084	0.999	1214.010	1212.481	0.030
183.772	1202.926	1204.756	1200.225	0.999	1220.372	1217.106	0.090
183.990	1190.868	1191.419	1195.847	0.999	1206.100	1213.748	-0.177
184.209	1196.615	1201.057	1204.769	0.999	1215.009	1217.189	-0.049
184.427	1192.046	1191.457	1194.951	0.999	1210.119	1206.800	0.088
184.645	1204.833	1208.686	1205.012	0.999	1218.247	1222.847	-0.128
184.864	1195.399	1198.804	1192.686	0.999	1210.951	1206.321	0.153
185.082	1205.665	1206.266	1206.126	1.000	1220.577	1213.451	0.282
185.300	1192.903	1196.795	1194.644	1.000	1212.513	1207.661	0.123
185.519	1204.436	1203.988	1206.561	1.000	1214.561	1220.959	-0.213
185.737	1190.855	1201.902	1206.855	1.000	1211.540	1214.240	-0.053
185.956	1197.371	1235.373	1253.126	1.000	1257.222	1253.742	0.026
186.174	1195.489	1247.431	1271.456	0.999	1266.541	1268.826	-0.014
186.392	1203.732	1252.256	1273.133	0.997	1272.813	1266.108	0.044
186.611	1192.596	1250.835	1271.123	0.995	1256.493	1264.593	-0.052
186.829	1201.479	1257.478	1279.456	0.992	1274.297	1270.308	0.024
187.047	1193.415	1254.355	1269.075	0.990	1263.021	1255.842	0.047
187.265	1204.346	1254.611	1279.916	0.988	1267.334	1257.128	0.077
187.484	1198.484	1248.224	1281.056	0.987	1268.115	1253.154	0.105
187.702	1201.940	1257.005	1276.845	0.985	1273.017	1256.505	0.115
187.920	1195.131	1258.464	1272.057	0.983	1265.990	1252.134	0.095
188.138	1203.950	1256.390	1275.590	0.983	1270.560	1254.133	0.123
188.357	1196.359	1250.387	1276.256	0.982	1268.435	1246.214	0.160
188.575	1206.804	1262.573	1277.549	0.982	1282.464	1256.241	0.185
188.793	1197.550	1251.104	1276.934	0.982	1260.166	1249.360	0.082
189.011	1199.035	1254.483	1280.083	0.982	1276.205	1254.403	0.144
189.229	1198.113	1253.651	1274.566	0.982	1265.414	1242.820	0.178
189.448	1198.510	1255.738	1276.934	0.982	1271.917	1254.133	0.120
189.666	1198.676	1258.029	1271.072	0.982	1269.446	1245.101	0.183
189.884	1197.716	1255.930	1279.507	0.983	1274.553	1252.178	0.149
190.102	1199.790	1257.299	1275.667	0.983	1271.891	1250.298	0.155
190.320	1204.526	1264.006	1289.721	0.983	1277.779	1263.856	0.092
190.538	1198.523	1259.834	1281.836	0.983	1273.120	1250.352	0.158
190.757	1206.996	1261.421	1289.120	0.983	1273.017	1262.435	0.076
190.975	1192.071	1260.640	1282.758	0.983	1275.104	1253.094	0.134
191.193	1198.727	1262.931	1289.696	0.983	1276.230	1261.981	0.088
191.411	1195.502	1258.336	1287.622	0.982	1272.454	1258.440	0.087
191.629	1201.902	1261.408	1300.422	0.982	1276.051	1266.500	0.060
