wavelength	dark	Cell 1	Cell 2	Scalar	Background	Sample	Abs	Fit wavelength	Fit Abs	Temperature	Salinity
406.593	1318.661	1322.706	1324.652	0.999	1330.847	1329.097	0.283	406.593	0.283	26.227	35.000
406.779	1325.292	1330.847	1326.137	1.000	1330.053	1332.079	0.283	406.779	0.283	0.000	0.000
406.965	1336.581	1334.149	1335.352	1.000	1342.853	1335.913	0.283	406.965	0.283	0.000	0.000
407.151	1347.487	1348.203	1353.426	1.000	1356.011	1353.493	0.283	407.151	0.283	0.000	0.000
407.337	1341.599	1351.301	1341.164	1.000	1344.056	1346.225	0.283	407.337	0.283	0.000	0.000
407.523	1352.376	1351.019	1355.269	1.000	1343.212	1355.034	0.283	407.523	0.283	0.000	0.000
407.709	1336.274	1342.060	1339.090	1.000	1337.221	1340.163	0.283	407.709	0.283	0.000	0.000
407.895	1342.802	1352.197	1344.056	1.001	1337.682	1344.512	0.283	407.895	0.283	0.000	0.000
408.081	1339.858	1345.695	1345.285	1.001	1343.084	1333.407	0.283	408.081	0.283	0.000	0.000
408.267	1352.376	1346.565	1351.071	1.001	1355.474	1353.515	0.283	408.267	0.283	0.000	0.000
408.453	1338.885	1337.887	1341.932	1.001	1347.563	1333.870	0.283	408.453	0.283	0.000	0.000
408.639	1341.906	1337.605	1337.221	1.001	1347.282	1347.745	0.283	408.639	0.283	0.000	0.000
408.826	1346.027	1342.136	1343.928	1.000	1339.090	1341.347	0.283	408.826	0.283	0.000	0.000
409.012	1344.261	1347.307	1348.792	1.000	1353.221	1348.186	0.283	409.012	0.283	0.000	0.000
409.198	1336.120	1352.274	1340.754	1.000	1346.411	1340.546	0.283	409.198	0.283	0.000	0.000
409.385	1349.509	1373.368	1387.448	1.000	1368.325	1368.044	0.283	409.385	0.283	0.000	0.000
409.571	1334.047	1373.905	1403.038	0.999	1384.913	1368.093	0.283	409.571	0.283	0.000	0.000
409.758	1344.415	1380.971	1403.524	0.998	1373.649	1370.541	0.283	409.758	0.283	0.000	0.000
409.944	1335.480	1371.166	1396.100	0.996	1373.547	1363.881	0.283	409.944	0.283	0.000	0.000
410.131	1350.021	1391.236	1416.913	0.994	1387.115	1374.289	0.283	410.131	0.283	0.000	0.000
410.317	1341.420	1375.006	1401.758	0.991	1373.982	1359.114	0.283	410.317	0.283	0.000	0.000
410.504	1352.530	1379.614	1398.583	0.989	1374.033	1364.167	0.283	410.504	0.283	0.000	0.000
410.691	1351.480	1384.427	1403.499	0.987	1378.846	1360.750	0.282	410.691	0.282	0.000	0.000
410.878	1338.808	1376.133	1410.538	0.986	1375.825	1358.107	0.282	410.878	0.282	0.000	0.000
411.064	1348.587	1380.536	1404.651	0.984	1381.099	1351.335	0.282	411.064	0.282	0.000	0.000
411.251	1345.618	1385.092	1412.330	0.983	1386.193	1354.192	0.282	411.251	0.282	0.000	0.000
411.438	1349.919	1379.486	1403.755	0.982	1375.416	1348.678	0.282	411.438	0.282	0.000	0.000
411.625	1355.679	1387.704	1420.625	0.981	1390.468	1362.260	0.282	411.625	0.282	0.000	0.000
411.812	1337.375	1368.094	1399.966	0.981	1377.797	1344.834	0.282	411.812	0.282	0.000	0.000
411.999	1346.104	1386.859	1406.750	0.980	1388.523	1357.408	0.282	411.999	0.282	0.000	0.000
412.186	1347.205	1374.673	1403.934	0.980	1384.606	1354.078	0.282	412.186	0.282	0.000	0.000
412.373	1338.373	1385.937	1407.748	0.980	1380.741	1357.253	0.282	412.373	0.282	0.000	0.000
412.560	1344.568	1381.893	1402.884	0.980	1374.750	1350.432	0.282	412.560	0.282	0.000	0.000
412.748	1345.336	1379.537	1414.609	0.980	1382.558	1358.543	0.282	412.748	0.282	0.000	0.000
412.935	1345.259	1385.425	1401.143	0.981	1380.382	1345.699	0.282	412.935	0.282	0.000	0.000
413.122	1346.565	1392.670	1417.041	0.981	1391.390	1366.285	0.282	413.122	0.282	0.000	0.000
413.309	1330.002	1378.437	1412.740	0.981	1381.662	1343.011	0.282	413.309	0.282	0.000	0.000
413.497	1380.561	1413.918	1441.898	0.981	1419.729	1381.897	0.282	413.497	0.282	0.000	0.000
413.684	1343.160	1383.940	1406.852	0.981	1377.105	1355.422	0.282	413.684	0.282	0.000	0.000
413.872	1350.968	1387.857	1419.038	0.981	1390.340	1352.257	0.282	413.872	0.282	0.000	0.000
414.059	1337.708	1382.942	1409.335	0.981	1381.662	1347.809	0.282	414.059	0.282	0.000	0.000
414.247	1356.037	1386.987	1422.519	0.981	1390.315	1354.425	0.282	414.247	0.282	0.000	0.000
414.434	1340.344	1374.904	1413.610	0.981	1370.424	1342.729	0.283	414.434	0.283	0.000	0.000
414.622	1359.416	1389.060	1424.977	0.980	1390.878	1352.899	0.283	414.622	0.283	0.000	0.000
414.809	1344.415	1381.253	1414.711	0.979	1381.073	1346.051	0.283	414.809	0.283	0.000	0.000
414.997	1345.951	1388.881	1426.026	0.978	1387.320	1361.631	0.283	414.997	0.283	0.000	0.000
415.185	1344.927	1379.793	1427.665	0.977	1388.036	1357.063	0.283	415.185	0.283	0.000	0.000
415.373	1349.125	1388.241	1441.540	0.976	1388.625	1361.300	0.283	415.373	0.283	0.000	0.000
415.560	1339.244	1372.369	1433.527	0.974	1374.443	1337.868	0.283	415.560	0.283	0.000	0.000
415.748	1345.362	1393.310	1448.451	0.972	1378.053	1352.837	0.283	415.748	0.283	0.000	0.000
415.936	1335.122	1372.344	1441.847	0.969	1380.510	1348.961	0.283	415.936	0.283	0.000	0.000
416.124	1352.171	1381.688	1460.586	0.966	1387.422	1348.294	0.283	416.124	0.283	0.000	0.000
416.312	1345.055	1380.357	1461.200	0.963	1386.961	1345.738	0.283	416.312	0.283	0.000	0.000
416.500	1352.658	1389.291	1482.269	0.960	1389.726	1356.292	0.283	416.500	0.283	0.000	0.000
416.688	1343.288	1378.027	1480.912	0.956	1377.233	1341.114	0.283	416.688	0.283	0.000	0.000
416.876	1345.157	1383.659	1487.798	0.951	1381.406	1346.042	0.283	416.876	0.283	0.000	0.000
417.064	1341.650	1380.357	1458.922	0.947	1378.667	1322.682	0.284	417.064	0.284	0.000	0.000
417.253	1356.958	1394.846	1448.349	0.944	1385.604	1323.063	0.284	417.253	0.284	0.000	0.000
